name,name_kana,name_romaji,nickname,latitude,longitude
朝地町朝地,アサジマチアサジ,ASAJIMACHI ASAJI,,33.009487,131.415248
朝地町池田,アサジマチイケダ,ASAJIMACHI IKEDA,,33.02602,131.4422
朝地町板井迫,アサジマチイタイザコ,ASAJIMACHI ITAIZAKO,,33.011925,131.439411
朝地町市万田,アサジマチイチマンダ,ASAJIMACHI ICHIMANDA,,33.011014,131.469962
朝地町上尾塚,アサジマチカミオツカ,ASAJIMACHI KAMIOTSUKA,,32.990105,131.433405
朝地町栗林,アサジマチクリバヤシ,ASAJIMACHI KURIBAYASHI,,33.037975,131.410247
朝地町志賀,アサジマチシガ,ASAJIMACHI SHIGA,,32.993056,131.460325
朝地町下野,アサジマチシモノ,ASAJIMACHI SHIMONO,,33.002828,131.45963
朝地町坪泉,アサジマチツボイズミ,ASAJIMACHI TSUBOIZUMI,,32.999995,131.430513
朝地町鳥田,アサジマチトリタ,ASAJIMACHI TORITA,,33.052461,131.439723
朝地町梨小,アサジマチナシコ,ASAJIMACHI NASHIKO,,33.075507,131.431169
朝地町宮生,アサジマチミヤオ,ASAJIMACHI MIYAO,,32.993775,131.477426
朝地町綿田,アサジマチワタダ,ASAJIMACHI WATADA,,33.022923,131.405233
犬飼町犬飼,イヌカイマチイヌカイ,INUKAIMACHI INUKAI,,33.072337,131.635571
犬飼町大寒,イヌカイマチオオソウ,INUKAIMACHI OSO,,33.047379,131.642654
犬飼町久原,イヌカイマチクバル,INUKAIMACHI KUBARU,,33.077804,131.645947
犬飼町栗ケ畑,イヌカイマチクリガハタ,INUKAIMACHI KURIGAHATA,,33.083164,131.570521
犬飼町黒松,イヌカイマチクロマツ,INUKAIMACHI KUROMATSU,,33.070794,131.5869
犬飼町高津原,イヌカイマチコウヅハル,INUKAIMACHI KOZUHARU,,33.083788,131.598656
犬飼町西寒田,イヌカイマチササムタ,INUKAIMACHI SASAMUTA,,33.081862,131.662592
犬飼町柴北,イヌカイマチシバキタ,INUKAIMACHI SHIBAKITA,,33.062329,131.595599
犬飼町下津尾,イヌカイマチシモツオ,INUKAIMACHI SHIMOTSUO,,33.079107,131.62607
犬飼町田原,イヌカイマチタハラ,INUKAIMACHI TAHARA,,33.057328,131.630291
犬飼町長畑,イヌカイマチナガハタ,INUKAIMACHI NAGAHATA,,33.060033,131.557369
犬飼町山内,イヌカイマチヤマウチ,INUKAIMACHI YAMAUCHI,,33.068127,131.563262
犬飼町柚野木,イヌカイマチユノキ,INUKAIMACHI YUNOKI,,33.051798,131.6516
大野町安藤,オオノマチアンドウ,ONOMACHI ANDO,,33.097677,131.557538
大野町後田,オオノマチウシロダ,ONOMACHI USHIRODA,,33.039349,131.555058
大野町大原,オオノマチオオハル,ONOMACHI OHARU,,33.016393,131.48989
大野町片島,オオノマチカタシマ,ONOMACHI KATASHIMA,,33.022227,131.530747
大野町北園,オオノマチキタゾノ,ONOMACHI KITAZONO,,33.034604,131.457248
大野町桑原,オオノマチクワバル,ONOMACHI KUWABARU,,33.032318,131.474831
