name,name_kana,name_romaji,nickname,latitude,longitude
大字畔屋,,,,33.308399,132.674258
大字生田,,,,33.315514,132.693399
大字出目,,,,33.250348,132.701029
大字岩谷,,,,33.265735,132.712557
大字内深田,,,,33.264063,132.661277
大字大宿,,,,33.337132,132.686779
大字興野々,,,,33.251856,132.71177
大字小倉,,,,33.27594,132.725257
大字上大野,,,,33.322467,132.79612
大字上鍵山,,,,33.339803,132.776604
大字上川,,,,33.263999,132.722487
大字川上,,,,33.309309,132.777829
大字北川,,,,33.246312,132.631716
大字清延,,,,33.264335,132.670183
大字国遠,,,,33.262283,132.68123
大字久保,,,,33.305619,132.736758
大字小西野々,,,,33.273793,132.717139
大字小松,,,,33.315463,132.736523
大字沢松,,,,33.272366,132.659696
大字芝,,,,33.246574,132.679596
大字下大野,,,,33.325154,132.716172
大字下鍵山,,,,33.335053,132.796157
大字清水,,,,33.299404,132.687378
大字近永,,,,33.256501,132.672719
大字父野川上,,,,33.331996,132.870036
大字父野川下,,,,33.322756,132.801826
大字父野川中,,,,33.31231,132.849357
大字永野市,,,,33.249537,132.68758
大字中野川,,,,33.245358,132.675359
大字奈良,,,,33.248654,132.659859
大字成藤,,,,33.275371,132.674609
大字西仲,,,,33.271384,132.640347
大字西野々,,,,33.286579,132.700476
大字延川,,,,33.303874,132.74659
大字東仲,,,,33.269378,132.65201
大字日向谷,,,,33.356344,132.827183
大字広見,,,,33.298568,132.718795
大字吉波,,,,33.273216,132.63145
