name,name_kana,name_romaji,nickname,latitude,longitude
山之郷飛地,,,,35.489553,140.210336
岩崎緑地,,,,35.528107,140.070098
戸面石神麻生原入会地,,,,35.243863,140.14099
松ケ島緑地,,,,35.517995,140.062482
板倉,,,,35.492355,140.250398
櫃狭,,,,35.43269,140.144556
玉前緑地,,,,35.522545,140.064568
茂呂町,,,,35.536846,140.164351
青柳緑地,,,,35.512448,140.0605
相川,アイカワ,AIKAWA,,35.467401,140.117944
青葉台一丁目,アオバダイ 1,AOBADAI 1,,35.47131,140.060677
青葉台二丁目,アオバダイ 2,AOBADAI 2,,35.467393,140.05998
青葉台三丁目,アオバダイ 3,AOBADAI 3,,35.470587,140.05731
青葉台四丁目,アオバダイ 4,AOBADAI 4,,35.467355,140.055428
青葉台五丁目,アオバダイ 5,AOBADAI 5,,35.470382,140.053412
青葉台六丁目,アオバダイ 6,AOBADAI 6,,35.468598,140.049521
青葉台七丁目,アオバダイ 7,AOBADAI 7,,35.465548,140.050457
青葉台八丁目,アオバダイ 8,AOBADAI 8,,35.46374,140.049554
青柳,アオヤギ,AOYAGI,,35.501309,140.061774
青柳一丁目,アオヤギ 1,AOYAGI 1,,35.49909,140.053958
青柳二丁目,アオヤギ 2,AOYAGI 2,,35.501613,140.054545
青柳三丁目,アオヤギ 3,AOYAGI 3,,35.504196,140.056003
青柳北一丁目,アオヤギキタ 1,AOYAGIKITA 1,,35.514443,140.064627
青柳北二丁目,アオヤギキタ 2,AOYAGIKITA 2,,35.510688,140.062565
青柳北三丁目,アオヤギキタ 3,AOYAGIKITA 3,,35.507975,140.060584
青柳北四丁目,アオヤギキタ 4,AOYAGIKITA 4,,35.506095,140.058259
安久谷,アクヤ,AKUYA,,35.397481,140.152823
浅井小向,アサイコムカイ,ASAIKOMUKAI,,35.468451,140.112244
旭五所,アサヒゴショ,ASAHIGOSHO,,35.52943,140.116307
安須,アズ,AZU,,35.457617,140.115572
朝生原,アソウバラ,ASOBARA,,35.264917,140.163886
姉崎,アネサキ,ANESAKI,,35.479267,140.049923
姉崎,アネサキ,ANESAKI,鐙田,35.4804,140.046923
姉崎海岸,アネサキカイガン,ANESAKIKAIGAN,,35.486561,140.028584
姉崎西一丁目,アネサキニシ 1,ANESAKINISHI 1,,35.480264,140.042086
姉崎西二丁目,アネサキニシ 2,ANESAKINISHI 2,,35.47805,140.038765
姉崎西三丁目,アネサキニシ 3,ANESAKINISHI 3,,35.475953,140.034337
姉崎東一丁目,アネサキヒガシ 1,ANESAKIHIGASHI 1,,35.478107,140.043997
姉崎東二丁目,アネサキヒガシ 2,ANESAKIHIGASHI 2,,35.475202,140.043084
姉崎東三丁目,アネサキヒガシ 3,ANESAKIHIGASHI 3,,35.477037,140.041242
海士有木,アマアリキ,AMAARIKI,,35.471062,140.125626
