name,name_kana,name_romaji,nickname,latitude,longitude
大字植木,,,,33.603921,130.502167
大字上須惠,,,,33.588338,130.516712
大字新原,,,,33.580985,130.509707
大字須惠,,,,33.592831,130.506311
大字旅石,,,,33.588244,130.497551
大字佐谷,,,,33.587571,130.536078
