name,name_kana,name_romaji,nickname,latitude,longitude
八千代区大和,ヤチヨクヤマト,YACHIYOKU YAMATO,,35.013995,134.863021
八千代区下三原,ヤチヨクシモミハラ,YACHIYOKU SHIMOMIHARA,,34.999789,134.891456
八千代区中野間,ヤチヨクナカノマ,YACHIYOKU NAKANOMA,,35.004662,134.904804
八千代区下野間,ヤチヨクシモノマ,YACHIYOKU SHIMONOMA,,34.993921,134.91795
加美区的場,カミクマトバ,KAMIKU MATOBA,,35.082643,134.876279
八千代区横屋,ヤチヨクヨコヤ,YACHIYOKU YOKOYA,,35.033679,134.871225
八千代区中村,ヤチヨクナカムラ,YACHIYOKU NAKAMURA,,35.043348,134.867493
八千代区大屋,ヤチヨクオオヤ,YACHIYOKU OYA,,35.062688,134.858641
加美区寺内,カミクテラウチ,KAMIKU TERAUCHI,,35.080753,134.854967
八千代区坂本,ヤチヨクサカモト,YACHIYOKU SAKAMOTO,,35.051371,134.876783
中区牧野,ナカクマキノ,NAKAKU MAKINO,,35.089292,134.928419
中区東山,ナカクヒガシヤマ,NAKAKU HIGASHIYAMA,,35.07846,134.914511
中区門前,ナカクモンゼン,NAKAKU MONZEN,,35.082319,134.902484
加美区熊野部,カミククマノベ,KAMIKU KUMANOBE,,35.094168,134.898305
加美区奥荒田,カミクオクアラタ,KAMIKU OKUARATA,,35.100422,134.863105
加美区多田,カミクタダ,KAMIKU TADA,,35.110316,134.876952
加美区清水,カミクキヨミズ,KAMIKU KIYOMIZU,,35.169641,134.924666
中区中安田,ナカクナカヤスダ,NAKAKU NAKAYASUDA,,35.045738,134.951579
中区田野口,ナカクタノクチ,NAKAKU TANOKUCHI,,35.074957,134.921788
中区天田,ナカクアマダ,NAKAKU AMADA,,35.062604,134.921324
中区鍛冶屋,ナカクカジヤ,NAKAKU KAJIYA,,35.07025,134.937996
中区間子,ナカクマコウ,NAKAKU MAKO,,35.056849,134.932375
中区西安田,ナカクニシヤスダ,NAKAKU NISHIYASUDA,,35.054394,134.947326
中区奥中,ナカクオクナカ,NAKAKU OKUNAKA,,35.053175,134.911792
中区中村町,ナカクナカムラマチ,NAKAKU NAKAMURAMACHI,,35.048733,134.924635
中区安坂,ナカクアサカ,NAKAKU ASAKA,,35.037625,134.91774
中区森本,ナカクモリモト,NAKAKU MORIMOTO,,35.046095,134.934583
中区坂本,ナカクサカモト,NAKAKU SAKAMOTO,,35.030372,134.928418
中区高岸,ナカクタカギシ,NAKAKU TAKAGISHI,,35.06175,134.909381
中区岸上,ナカクキシカミ,NAKAKU KISHIKAMI,,35.057675,134.922154
中区東安田,ナカクヒガシヤスダ,NAKAKU HIGASHIYASUDA,,35.042534,134.962213
中区曽我井,ナカクソガイ,NAKAKU SOGAI,,35.025001,134.938333
八千代区仕出原,ヤチヨクシデハラ,YACHIYOKU SHIDEHARA,,35.014502,134.919149
中区糀屋,ナカクコウジヤ,NAKAKU KOJIYA,,35.030906,134.915597
八千代区俵田,ヤチヨクタワラダ,YACHIYOKU TAWARADA,,35.021754,134.898359
中区茂利,ナカクシゲリ,NAKAKU SHIGERI,,35.040613,134.905877
八千代区門田,ヤチヨクカドタ,YACHIYOKU KADOTA,,35.033607,134.890476
八千代区赤坂,ヤチヨクアカサカ,YACHIYOKU AKASAKA,,35.017354,134.883102
八千代区下村,ヤチヨクシモムラ,YACHIYOKU SHIMOMURA,,35.030173,134.880805
中区徳畑,ナカクトクバタ,NAKAKU TOKUBATA,,35.046067,134.89812
中区安楽田,ナカクアラタ,NAKAKU ARATA,,35.071325,134.90301
加美区山野部,カミクヤマノベ,KAMIKU YAMANOBE,,35.062122,134.892023
加美区西脇,カミクニシワキ,KAMIKU NISHIWAKI,,35.074668,134.890108
加美区観音寺,カミクカンノンジ,KAMIKU KANNONJI,,35.110565,134.924696
加美区箸荷,カミクハセガイ,KAMIKU HASEGAI,,35.124344,134.933784
加美区奥豊部,カミクオクトヨベ,KAMIKU OKUTOYOBE,,35.117977,134.916301
加美区杉原,カミクスギハラ,KAMIKU SUGIHARA,,35.121075,134.917487
加美区門村,カミクカドムラ,KAMIKU KADOMURA,,35.125452,134.914601
加美区豊部,カミクトヨベ,KAMIKU TOYOBE,,35.108413,134.906018
加美区棚釜,カミクタナカマ,KAMIKU TANAKAMA,,35.116909,134.884505
加美区大袋,カミクオオブクロ,KAMIKU OBUKURO,,35.132637,134.927665
加美区山口,カミクヤマグチ,KAMIKU YAMAGUCHI,,35.147411,134.929788
加美区西山,カミクニシヤマ,KAMIKU NISHIYAMA,,35.145844,134.920639
加美区三谷,カミクミダニ,KAMIKU MIDANI,,35.135098,134.902646
加美区岩座神,カミクイサリガミ,KAMIKU ISARIGAMI,,35.133276,134.882404
加美区丹治,カミクタンジ,KAMIKU TANJI,,35.14392,134.942062
加美区轟,カミクトドロキ,KAMIKU TODOROKI,,35.157651,134.918111
加美区市原,カミクイチハラ,KAMIKU ICHIHARA,,35.147532,134.903343
加美区鳥羽,カミクトリマ,KAMIKU TORIMA,,35.18839,134.931775
加美区山寄上,カミクヤマヨリカミ,KAMIKU YAMAYORIKAMI,,35.203182,134.934709
中区安坂,ナカクアサカ,NAKAKU ASAKA,きくま,35.04224,134.925551
中区牧野,ナカクマキノ,NAKAKU MAKINO,国木谷,35.074597,134.93124
