name,name_kana,name_romaji,nickname,latitude,longitude
宮崎二丁目,ミヤザキ 2,MIYAZAKI 2,,35.588048,139.591687
宮崎一丁目,ミヤザキ 1,MIYAZAKI 1,,35.584751,139.593441
宮前平一丁目,ミヤマエダイラ 1,MIYAMAEDAIRA 1,,35.584839,139.585832
宮崎,ミヤザキ,MIYAZAKI,,35.587619,139.597347
土橋四丁目,ツチハシ 4,TSUCHIHASHI 4,,35.586192,139.570235
土橋一丁目,ツチハシ 1,TSUCHIHASHI 1,,35.587051,139.576673
宮前平三丁目,ミヤマエダイラ 3,MIYAMAEDAIRA 3,,35.587669,139.586497
宮前平二丁目,ミヤマエダイラ 2,MIYAMAEDAIRA 2,,35.587782,139.581604
土橋二丁目,ツチハシ 2,TSUCHIHASHI 2,,35.584926,139.575955
犬蔵二丁目,イヌクラ 2,INUKURA 2,,35.583435,139.563502
東有馬四丁目,ヒガシアリマ 4,HIGASHIARIMA 4,,35.569544,139.588441
東有馬二丁目,ヒガシアリマ 2,HIGASHIARIMA 2,,35.575382,139.594066
東有馬五丁目,ヒガシアリマ 5,HIGASHIARIMA 5,,35.569215,139.595067
梶ケ谷,カジガヤ,KAJIGAYA,,35.58194,139.605476
東有馬三丁目,ヒガシアリマ 3,HIGASHIARIMA 3,,35.572447,139.591135
東有馬一丁目,ヒガシアリマ 1,HIGASHIARIMA 1,,35.576096,139.589251
有馬六丁目,アリマ 6,ARIMA 6,,35.570325,139.583039
有馬四丁目,アリマ 4,ARIMA 4,,35.575604,139.58013
有馬九丁目,アリマ 9,ARIMA 9,,35.572188,139.570378
有馬五丁目,アリマ 5,ARIMA 5,,35.573262,139.580892
有馬八丁目,アリマ 8,ARIMA 8,,35.573306,139.574567
有馬七丁目,アリマ 7,ARIMA 7,,35.570958,139.57781
小台二丁目,コダイ 2,KODAI 2,,35.582278,139.581834
鷺沼一丁目,サギヌマ 1,SAGINUMA 1,,35.576974,139.572934
有馬一丁目,アリマ 1,ARIMA 1,,35.578103,139.578515
小台一丁目,コダイ 1,KODAI 1,,35.581471,139.577296
土橋三丁目,ツチハシ 3,TSUCHIHASHI 3,,35.582518,139.573235
鷺沼二丁目,サギヌマ 2,SAGINUMA 2,,35.574646,139.569128
鷺沼三丁目,サギヌマ 3,SAGINUMA 3,,35.579103,139.56924
有馬三丁目,アリマ 3,ARIMA 3,,35.575056,139.585161
鷺沼四丁目,サギヌマ 4,SAGINUMA 4,,35.582943,139.567685
