name,name_kana,name_romaji,nickname,latitude,longitude
赤法花,アカボツケ,AKABOTSUKE,,35.956983,140.008045
板戸井,イタトイ,ITATOI,,35.969985,139.945805
大柏,オオガシワ,OGASHIWA,,35.938295,139.97279
大木,オオキ,OKI,,35.950489,139.937799
大山新田,オオヤマシンデン,OYAMASHINDEN,,35.973888,139.96444
乙子,オトゴ,OTOGO,,35.930066,140.000873
久保ケ丘一丁目,クボガオカ 1,KUBOGAOKA 1,,35.969135,139.976691
久保ケ丘二丁目,クボガオカ 2,KUBOGAOKA 2,,35.968022,139.973794
久保ケ丘三丁目,クボガオカ 3,KUBOGAOKA 3,,35.970051,139.973046
久保ケ丘四丁目,クボガオカ 4,KUBOGAOKA 4,,35.973396,139.972585
けやき台一丁目,ケヤキダイ 1,KEYAKIDAI 1,,35.933942,140.000494
けやき台二丁目,ケヤキダイ 2,KEYAKIDAI 2,,35.930401,139.99538
けやき台三丁目,ケヤキダイ 3,KEYAKIDAI 3,,35.933334,139.993659
けやき台四丁目,ケヤキダイ 4,KEYAKIDAI 4,,35.934854,139.99632
けやき台五丁目,ケヤキダイ 5,KEYAKIDAI 5,,35.939229,139.993334
けやき台六丁目,ケヤキダイ 6,KEYAKIDAI 6,,35.936746,139.992568
高野,コウヤ,KOYA,,35.929177,139.98534
御所ケ丘一丁目,ゴショガオカ 1,GOSHOGAOKA 1,,35.966343,139.985174
御所ケ丘二丁目,ゴショガオカ 2,GOSHOGAOKA 2,,35.964377,139.979747
御所ケ丘三丁目,ゴショガオカ 3,GOSHOGAOKA 3,,35.967293,139.981768
御所ケ丘四丁目,ゴショガオカ 4,GOSHOGAOKA 4,,35.964042,139.97604
御所ケ丘五丁目,ゴショガオカ 5,GOSHOGAOKA 5,,35.964992,139.973528
小山,コヤマ,KOYAMA,,35.93236,140.010566
鈴塚,スズツカ,SUZUTSUKA,,35.937317,139.984618
立沢,タツザワ,TATSUZAWA,,35.958926,139.975536
中央一丁目,チュウオウ 1,CHUO 1,,35.95247,139.990218
中央二丁目,チュウオウ 2,CHUO 2,,35.952857,139.993046
中央三丁目,チュウオウ 3,CHUO 3,,35.94999,139.993844
中央四丁目,チュウオウ 4,CHUO 4,,35.948661,139.990595
同地,ドウチ,DOCHI,,35.951683,140.013294
野木崎,ノギサキ,NOGISAKI,,35.942053,139.957328
ひがし野一丁目,ヒガシノ 1,HIGASHINO 1,,35.953691,139.995176
ひがし野二丁目,ヒガシノ 2,HIGASHINO 2,,35.951904,140.000668
ひがし野三丁目,ヒガシノ 3,HIGASHINO 3,,35.949607,140.001108
ひがし野四丁目,ヒガシノ 4,HIGASHINO 4,,35.955553,139.992629
本町,ホンチョウ,HONCHO,,35.940848,140.002061
松ケ丘一丁目,マツガオカ 1,MATSUGAOKA 1,,35.94217,139.992162
松ケ丘二丁目,マツガオカ 2,MATSUGAOKA 2,,35.941205,139.988419
松ケ丘三丁目,マツガオカ 3,MATSUGAOKA 3,,35.938815,139.988453
松ケ丘四丁目,マツガオカ 4,MATSUGAOKA 4,,35.941291,139.982021
松ケ丘五丁目,マツガオカ 5,MATSUGAOKA 5,,35.942619,139.984871
松ケ丘六丁目,マツガオカ 6,MATSUGAOKA 6,,35.942416,139.978049
松ケ丘七丁目,マツガオカ 7,MATSUGAOKA 7,,35.939437,139.979885
松並,マツナミ,MATSUNAMI,,35.958789,139.995133
松前台一丁目,マツマエダイ 1,MATSUMAEDAI 1,,35.968082,139.967516
松前台二丁目,マツマエダイ 2,MATSUMAEDAI 2,,35.969933,139.967603
松前台三丁目,マツマエダイ 3,MATSUMAEDAI 3,,35.974357,139.96983
松前台四丁目,マツマエダイ 4,MATSUMAEDAI 4,,35.970912,139.96391
松前台五丁目,マツマエダイ 5,MATSUMAEDAI 5,,35.968849,139.961834
松前台六丁目,マツマエダイ 6,MATSUMAEDAI 6,,35.970261,139.958778
松前台七丁目,マツマエダイ 7,MATSUMAEDAI 7,,35.972887,139.958866
みずき野一丁目,ミズキノ 1,MIZUKINO 1,,35.934379,140.007284
みずき野二丁目,ミズキノ 2,MIZUKINO 2,,35.933902,140.011828
みずき野三丁目,ミズキノ 3,MIZUKINO 3,,35.932759,140.015076
みずき野四丁目,ミズキノ 4,MIZUKINO 4,,35.935897,140.016035
みずき野五丁目,ミズキノ 5,MIZUKINO 5,,35.936934,140.012427
みずき野六丁目,ミズキノ 6,MIZUKINO 6,,35.94086,140.011368
みずき野七丁目,ミズキノ 7,MIZUKINO 7,,35.939947,140.014741
みずき野八丁目,ミズキノ 8,MIZUKINO 8,,35.93896,140.016983
美園一丁目,ミソノ 1,MISONO 1,,35.928369,140.003144
美園二丁目,ミソノ 2,MISONO 2,,35.925512,140.001162
美園三丁目,ミソノ 3,MISONO 3,,35.924039,139.998226
美園四丁目,ミソノ 4,MISONO 4,,35.922996,140.00041
美園五丁目,ミソノ 5,MISONO 5,,35.921982,140.001995
緑一丁目,ミドリ 1,MIDORI 1,,35.952254,139.963203
緑二丁目,ミドリ 2,MIDORI 2,,35.956789,139.960061
薬師台一丁目,ヤクシダイ 1,YAKUSHIDAI 1,,35.965938,139.968554
薬師台二丁目,ヤクシダイ 2,YAKUSHIDAI 2,,35.963652,139.968293
薬師台三丁目,ヤクシダイ 3,YAKUSHIDAI 3,,35.965351,139.964654
薬師台四丁目,ヤクシダイ 4,YAKUSHIDAI 4,,35.962079,139.964618
薬師台五丁目,ヤクシダイ 5,YAKUSHIDAI 5,,35.958039,139.964024
薬師台六丁目,ヤクシダイ 6,YAKUSHIDAI 6,,35.959533,139.961826
