name,name_kana,name_romaji,nickname,latitude,longitude
馬ノ上,ウマノウエ,UMANOE,,33.544525,133.815667
久重,クエ,KUE,,33.573169,133.854306
国光,クニミツ,KUNIMITSU,,33.577413,133.833161
道家,ドウケ,DOKE,,33.573983,133.823515
西分,ニシブンコウ,NISHIBUN KO,,33.532633,133.794596
和食,ワジキコウ,WAJIKI KO,,33.536697,133.841648
