name,name_kana,name_romaji,nickname,latitude,longitude
一条一丁目, 1, 1,,43.113328,141.560867
一条二丁目, 2, 2,,43.112791,141.560277
一条三丁目, 3, 3,,43.112177,141.559785
二条一丁目, 1, 1,,43.113989,141.559999
二条二丁目, 2, 2,,43.113291,141.559238
二条三丁目, 3, 3,,43.112777,141.558786
二条四丁目, 4, 4,,43.112246,141.558431
二条五丁目, 5, 5,,43.111597,141.558296
二条六丁目, 6, 6,,43.111172,141.557563
三条一丁目, 1, 1,,43.114496,141.559128
三条二丁目, 2, 2,,43.113688,141.558403
三条三丁目, 3, 3,,43.113175,141.557947
三条四丁目, 4, 4,,43.112668,141.557502
三条五丁目, 5, 5,,43.112143,141.557029
三条六丁目, 6, 6,,43.111617,141.556584
四条一丁目, 1, 1,,43.114886,141.558086
四条二丁目, 2, 2,,43.114149,141.557443
四条三丁目, 3, 3,,43.113641,141.556995
四条四丁目, 4, 4,,43.113124,141.556544
四条五丁目, 5, 5,,43.11257,141.556069
四条六丁目, 6, 6,,43.112158,141.555617
四条七丁目, 7, 7,,43.111385,141.555729
五条一丁目, 1, 1,,43.115333,141.557188
五条二丁目, 2, 2,,43.114581,141.556548
五条三丁目, 3, 3,,43.114075,141.556104
五条四丁目, 4, 4,,43.113542,141.555634
五条五丁目, 5, 5,,43.113054,141.555232
五条六丁目, 6, 6,,43.112522,141.55475
五条七丁目, 7, 7,,43.111661,141.553886
六条五丁目, 5, 5,,43.113479,141.554188
六条六丁目, 6, 6,,43.113032,141.553587
六条七丁目, 7, 7,,43.112228,141.553282
六条八丁目, 8, 8,,43.111427,141.552598
七条六丁目, 6, 6,,43.113342,141.552634
七条七丁目, 7, 7,,43.112695,141.552533
七条八丁目, 8, 8,,43.111605,141.551592
八条七丁目, 7, 7,,43.11295,141.551761
八条八丁目, 8, 8,,43.111798,141.550567
あけぼの町,アケボノチョウ,AKEBONOCHO,,43.101886,141.577563
あさひが丘,アサヒガオカ,ASAHIGAOKA,,43.086502,141.540926
朝日町,アサヒチョウ,ASAHICHO,,43.106276,141.573163
いずみ野,イズミノ,IZUMINO,,43.116689,141.533419
一番町,イチバンチョウ,ICHIBANCHO,,43.10896,141.548498
江別太,エベツブト,EBETSUBUTO,,43.099823,141.603347
王子,オウジ,OJI,,43.118623,141.550862
大麻,オオアサ,OASA,,43.081344,141.479407
大麻泉町,オオアサイズミチョウ,OASA IZUMICHO,,43.081365,141.51059
大麻扇町,オオアサオウギマチ,OASA OGIMACHI,,43.067448,141.484523
大麻北町,オオアサキタマチ,OASA KITAMACHI,,43.088321,141.500595
大麻栄町,オオアササカエマチ,OASA SAKAEMACHI,,43.087025,141.50526
大麻桜木町,オオアササクラギチョウ,OASA SAKURAGICHO,,43.074552,141.485322
大麻沢町,オオアササワマチ,OASA SAWAMACHI,,43.070164,141.48787
大麻新町,オオアサシンマチ,OASA SHIMMACHI,,43.084615,141.508351
大麻園町,オオアサソノマチ,OASA SONOMACHI,,43.081006,141.496789
大麻高町,オオアサタカマチ,OASA TAKAMACHI,,43.076518,141.503747
大麻中町,オオアサナカマチ,OASA NAKAMACHI,,43.073445,141.495015
大麻西町,オオアサニシマチ,OASA NISHIMACHI,,43.063645,141.482971
大麻晴美町,オオアサハルミチョウ,OASA HARUMICHO,,43.084266,141.501314
大麻東町,オオアサヒガシマチ,OASA HIGASHIMACHI,,43.078596,141.499829
大麻ひかり町,オオアサヒカリマチ,OASA HIKARIMACHI,,43.067854,141.478538
大麻南樹町,オオアサミナキチョウ,OASA MINAKICHO,,43.081942,141.504457
大麻宮町,オオアサミヤマチ,OASA MIYAMACHI,,43.076352,141.490093
大麻元町,オオアサモトマチ,OASA MOTOMACHI,,43.082513,141.492331
大川通,,,,43.116387,141.560217
角山,カクヤマ,KAKUYAMA,,43.124406,141.479868
上江別,カミエベツ,KAMIEBETSU,,43.094152,141.557517
上江別西町,カミエベツニシマチ,KAMIEBETSU NISHIMACHI,,43.102603,141.549661
上江別東町,カミエベツヒガシマチ,KAMIEBETSU HIGASHIMACHI,,43.107783,141.559409
上江別南町,カミエベツミナミマチ,KAMIEBETSU MINAMIMACHI,,43.102584,141.55752
工栄町,コウエイチョウ,KOEICHO,,43.125598,141.518918
幸町,サイワイチョウ,SAIWAICHO,,43.098763,141.535549
篠津,シノツ,SHINOTSU,,43.146971,141.526236
新栄台,シンエイダイ,SHINEIDAI,,43.108435,141.514597
高砂町,タカサゴチョウ,TAKASAGOCHO,,43.102521,141.539385
