name,name_kana,name_romaji,nickname,latitude,longitude
大津町字五浦一丁目, 1, 1,,36.830983,140.80136
大津町字五浦二丁目, 2, 2,,36.829112,140.798772
大津町字五浦三丁目, 3, 3,,36.832495,140.798654
磯原町磯原,イソハラチョウイソハラ,ISOHARACHO ISOHARA,,36.805668,140.754685
磯原町磯原一丁目,イソハラチョウイソハラ 1,ISOHARACHO ISOHARA 1,,36.791968,140.743468
磯原町磯原二丁目,イソハラチョウイソハラ 2,ISOHARACHO ISOHARA 2,,36.790217,140.74133
磯原町磯原三丁目,イソハラチョウイソハラ 3,ISOHARACHO ISOHARA 3,,36.792549,140.739282
磯原町磯原四丁目,イソハラチョウイソハラ 4,ISOHARACHO ISOHARA 4,,36.794403,140.741067
磯原町磯原五丁目,イソハラチョウイソハラ 5,ISOHARACHO ISOHARA 5,,36.796343,140.738152
磯原町磯原六丁目,イソハラチョウイソハラ 6,ISOHARACHO ISOHARA 6,,36.797178,140.740445
磯原町内野,イソハラチョウウツノ,ISOHARACHO UTSUNO,,36.821109,140.670919
磯原町大塚,イソハラチョウオオツカ,ISOHARACHO OTSUKA,,36.798168,140.69308
磯原町上相田,イソハラチョウカミソウダ,ISOHARACHO KAMISODA,,36.802754,140.717528
磯原町木皿,イソハラチョウキサラ,ISOHARACHO KISARA,,36.806029,140.705794
磯原町豊田,イソハラチョウトヨダ,ISOHARACHO TOYODA,,36.796398,140.727985
磯原町豊田一丁目,イソハラチョウトヨダ 1,ISOHARACHO TOYODA 1,,36.792945,140.73612
磯原町豊田二丁目,イソハラチョウトヨダ 2,ISOHARACHO TOYODA 2,,36.796581,140.735307
磯原町本町一丁目,イソハラチョウホンチョウ 1,ISOHARACHO HONCHO 1,,36.787899,140.744304
磯原町本町二丁目,イソハラチョウホンチョウ 2,ISOHARACHO HONCHO 2,,36.788787,140.746521
磯原町本町三丁目,イソハラチョウホンチョウ 3,ISOHARACHO HONCHO 3,,36.789563,140.747591
磯原町本町四丁目,イソハラチョウホンチョウ 4,ISOHARACHO HONCHO 4,,36.790787,140.749122
大津町,オオツチョウ,OTSUCHO,,36.835498,140.791341
大津町北町,オオツチョウキタチョウ,OTSUCHO KITACHO,,36.846281,140.784572
大津町北町一丁目,オオツチョウキタチョウ 1,OTSUCHO KITACHO 1,,36.847824,140.77954
大津町北町二丁目,オオツチョウキタチョウ 2,OTSUCHO KITACHO 2,,36.845677,140.779892
大津町北町三丁目,オオツチョウキタチョウ 3,OTSUCHO KITACHO 3,,36.844799,140.779684
大津町北町四丁目,オオツチョウキタチョウ 4,OTSUCHO KITACHO 4,,36.842655,140.779493
関南町神岡上,セキナミチョウカミオカカミ,SEKINAMICHO KAMIOKAKAMI,,36.821423,140.757851
関南町神岡下,セキナミチョウカミオカシモ,SEKINAMICHO KAMIOKASHIMO,,36.827681,140.773846
関南町里根川,セキナミチョウサトネガワ,SEKINAMICHO SATONEGAWA,,36.838762,140.779616
