code,prefecture_code,name,name_kana,name_romaji
11101,11,さいたま市西区,サイタマシニシク,SAITAMA SHI NISHI KU
11102,11,さいたま市北区,サイタマシキタク,SAITAMA SHI KITA KU
11103,11,さいたま市大宮区,サイタマシオオミヤク,SAITAMA SHI OMIYA KU
11104,11,さいたま市見沼区,サイタマシミヌマク,SAITAMA SHI MINUMA KU
11105,11,さいたま市中央区,サイタマシチュウオウク,SAITAMA SHI CHUO KU
11106,11,さいたま市桜区,サイタマシサクラク,SAITAMA SHI SAKURA KU
11107,11,さいたま市浦和区,サイタマシウラワク,SAITAMA SHI URAWA KU
11108,11,さいたま市南区,サイタマシミナミク,SAITAMA SHI MINAMI KU
11109,11,さいたま市緑区,サイタマシミドリク,SAITAMA SHI MIDORI KU
11110,11,さいたま市岩槻区,サイタマシイワツキク,SAITAMA SHI IWATSUKI KU
11201,11,川越市,カワゴエシ,KAWAGOE SHI
11202,11,熊谷市,クマガヤシ,KUMAGAYA SHI
11203,11,川口市,カワグチシ,KAWAGUCHI SHI
11206,11,行田市,ギョウダシ,GYODA SHI
11207,11,秩父市,チチブシ,CHICHIBU SHI
11208,11,所沢市,トコロザワシ,TOKOROZAWA SHI
11209,11,飯能市,ハンノウシ,HANNO SHI
11210,11,加須市,カゾシ,KAZO SHI
11211,11,本庄市,ホンジョウシ,HONJO SHI
11212,11,東松山市,ヒガシマツヤマシ,HIGASHIMATSUYAMA SHI
11214,11,春日部市,カスカベシ,KASUKABE SHI
11215,11,狭山市,サヤマシ,SAYAMA SHI
11216,11,羽生市,ハニュウシ,HANYU SHI
11217,11,鴻巣市,コウノスシ,KONOSU SHI
11218,11,深谷市,フカヤシ,FUKAYA SHI
11219,11,上尾市,アゲオシ,AGEO SHI
11221,11,草加市,ソウカシ,SOKA SHI
11222,11,越谷市,コシガヤシ,KOSHIGAYA SHI
11223,11,蕨市,ワラビシ,WARABI SHI
11224,11,戸田市,トダシ,TODA SHI
11225,11,入間市,イルマシ,IRUMA SHI
11227,11,朝霞市,アサカシ,ASAKA SHI
11228,11,志木市,シキシ,SHIKI SHI
11229,11,和光市,ワコウシ,WAKO SHI
11230,11,新座市,ニイザシ,NIIZA SHI
11231,11,桶川市,オケガワシ,OKEGAWA SHI
11232,11,久喜市,クキシ,KUKI SHI
11233,11,北本市,キタモトシ,KITAMOTO SHI
11234,11,八潮市,ヤシオシ,YASHIO SHI
11235,11,富士見市,フジミシ,FUJIMI SHI
11237,11,三郷市,ミサトシ,MISATO SHI
11238,11,蓮田市,ハスダシ,HASUDA SHI
11239,11,坂戸市,サカドシ,SAKADO SHI
11240,11,幸手市,サッテシ,SATTE SHI
11241,11,鶴ヶ島市,ツルガシマシ,TSURUGASHIMA SHI
11242,11,日高市,ヒダカシ,HIDAKA SHI
11243,11,吉川市,ヨシカワシ,YOSHIKAWA SHI
11245,11,ふじみ野市,フジミノシ,FUJIMINO SHI
11246,11,白岡市,シラオカシ,SHIRAOKA SHI
11301,11,北足立郡伊奈町,キタアダチグンイナマチ,KITAADACHI GUN INA MACHI
11324,11,入間郡三芳町,イルマグンミヨシマチ,IRUMA GUN MIYOSHI MACHI
11326,11,入間郡毛呂山町,イルマグンモロヤママチ,IRUMA GUN MOROYAMA MACHI
11327,11,入間郡越生町,イルマグンオゴセマチ,IRUMA GUN OGOSE MACHI
11341,11,比企郡滑川町,ヒキグンナメガワマチ,HIKI GUN NAMEGAWA MACHI
11342,11,比企郡嵐山町,ヒキグンランザンマチ,HIKI GUN RANZAN MACHI
11343,11,比企郡小川町,ヒキグンオガワマチ,HIKI GUN OGAWA MACHI
11346,11,比企郡川島町,ヒキグンカワジママチ,HIKI GUN KAWAJIMA MACHI
11347,11,比企郡吉見町,ヒキグンヨシミマチ,HIKI GUN YOSHIMI MACHI
11348,11,比企郡鳩山町,ヒキグンハトヤママチ,HIKI GUN HATOYAMA MACHI
11349,11,比企郡ときがわ町,ヒキグントキガワマチ,HIKI GUN TOKIGAWA MACHI
11361,11,秩父郡横瀬町,チチブグンヨコゼマチ,CHICHIBU GUN YOKOZE MACHI
11362,11,秩父郡皆野町,チチブグンミナノマチ,CHICHIBU GUN MINANO MACHI
11363,11,秩父郡長瀞町,チチブグンナガトロマチ,CHICHIBU GUN NAGATORO MACHI
11365,11,秩父郡小鹿野町,チチブグンオガノマチ,CHICHIBU GUN OGANO MACHI
11369,11,秩父郡東秩父村,チチブグンヒガシチチブムラ,CHICHIBU GUN HIGASHICHICHIBU MURA
11381,11,児玉郡美里町,コダマグンミサトマチ,KODAMA GUN MISATO MACHI
11383,11,児玉郡神川町,コダマグンカミカワマチ,KODAMA GUN KAMIKAWA MACHI
11385,11,児玉郡上里町,コダマグンカミサトマチ,KODAMA GUN KAMISATO MACHI
11408,11,大里郡寄居町,オオサトグンヨリイマチ,OSATO GUN YORII MACHI
11442,11,南埼玉郡宮代町,ミナミサイタマグンミヤシロマチ,MINAMISAITAMA GUN MIYASHIRO MACHI
11464,11,北葛飾郡杉戸町,キタカツシカグンスギトマチ,KITAKATSUSHIKA GUN SUGITO MACHI
11465,11,北葛飾郡松伏町,キタカツシカグンマツブシマチ,KITAKATSUSHIKA GUN MATSUBUSHI MACHI
