name,name_kana,name_romaji,nickname,latitude,longitude
大字埋縄,,,,35.035443,136.645787
大字小向,,,,35.034806,136.668153
大字柿,,,,35.033941,136.657153
大字縄生,,,,35.039087,136.675224
向陽台一丁目,コウヨウダイ 1,KOYODAI 1,,35.038714,136.656085
向陽台二丁目,コウヨウダイ 2,KOYODAI 2,,35.037106,136.654657
向陽台三丁目,コウヨウダイ 3,KOYODAI 3,,35.035356,136.656368
白梅の丘西一丁目,シラウメノオカニシ 1,SHIRAUMENOKANISHI 1,,35.041148,136.657029
白梅の丘西二丁目,シラウメノオカニシ 2,SHIRAUMENOKANISHI 2,,35.039611,136.65861
白梅の丘東一丁目,シラウメノオカヒガシ 1,SHIRAUMENOKAHIGASHI 1,,35.040615,136.662722
白梅の丘東二丁目,シラウメノオカヒガシ 2,SHIRAUMENOKAHIGASHI 2,,35.038292,136.660223
