name,name_kana,name_romaji,nickname,latitude,longitude
美津島町け知,,,,34.271005,129.310351
厳原町安神,イヅハラマチアガミ,IZUHARAMACHI AGAMI,,34.146684,129.268475
厳原町浅藻,イヅハラマチアザモ,IZUHARAMACHI AZAMO,,34.112966,129.218333
厳原町阿連,イヅハラマチアレ,IZUHARAMACHI ARE,,34.266857,129.213631
厳原町今屋敷,イヅハラマチイマヤシキ,IZUHARAMACHI IMAYASHIKI,,34.202871,129.289356
厳原町内山,イヅハラマチウチヤマ,IZUHARAMACHI UCHIYAMA,,34.159628,129.235004
厳原町尾浦,イヅハラマチオウラ,IZUHARAMACHI ORA,,34.159739,129.279084
厳原町大手橋,イヅハラマチオオテバシ,IZUHARAMACHI OTEBASHI,,34.201603,129.292808
厳原町樫根,イヅハラマチカシネ,IZUHARAMACHI KASHINE,,34.197463,129.240096
厳原町北里,イヅハラマチキタザト,IZUHARAMACHI KITAZATO,,34.223702,129.276728
厳原町久田,イヅハラマチクタ,IZUHARAMACHI KUTA,,34.186431,129.275967
厳原町久田道,イヅハラマチクタミチ,IZUHARAMACHI KUTAMICHI,,34.196466,129.288012
厳原町久根田舎,イヅハラマチクネイナカ,IZUHARAMACHI KUNEINAKA,,34.176383,129.201548
厳原町久根浜,イヅハラマチクネハマ,IZUHARAMACHI KUNEHAMA,,34.163336,129.184553
厳原町久和,イヅハラマチクワ,IZUHARAMACHI KUWA,,34.131163,129.255428
厳原町上槻,イヅハラマチコウツキ,IZUHARAMACHI KOTSUKI,,34.195759,129.194213
厳原町小浦,イヅハラマチコウラ,IZUHARAMACHI KORA,,34.233338,129.298417
厳原町国分,イヅハラマチコクブ,IZUHARAMACHI KOKUBU,,34.202149,129.288321
厳原町小茂田,イヅハラマチコモダ,IZUHARAMACHI KOMODA,,34.2337,129.19696
厳原町桟原,イヅハラマチサジキバラ,IZUHARAMACHI SAJIKIBARA,,34.216812,129.287398
厳原町佐須瀬,イヅハラマチサスセ,IZUHARAMACHI SASUSE,,34.157027,129.203104
厳原町椎根,イヅハラマチシイネ,IZUHARAMACHI SHIINE,,34.212199,129.206597
厳原町下原,イヅハラマチシモバル,IZUHARAMACHI SHIMOBARU,,34.212671,129.253815
厳原町田渕,イヅハラマチタブチ,IZUHARAMACHI TABUCHI,,34.203962,129.292479
厳原町豆酘,イヅハラマチツツ,IZUHARAMACHI TSUTSU,,34.123214,129.18754
厳原町豆酘瀬,イヅハラマチツツセ,IZUHARAMACHI TSUTSUSE,,34.145178,129.19334
厳原町豆酘内院,イヅハラマチツツナイイン,IZUHARAMACHI TSUTSUNAIIN,,34.115625,129.226052
厳原町天道茂,イヅハラマチテンドウシゲ,IZUHARAMACHI TENDOSHIGE,,34.20658,129.294128
厳原町中村,イヅハラマチナカムラ,IZUHARAMACHI NAKAMURA,,34.207221,129.29033
厳原町南室,イヅハラマチナムロ,IZUHARAMACHI NAMURO,,34.226486,129.292225
厳原町西里,イヅハラマチニシザト,IZUHARAMACHI NISHIZATO,,34.2047,129.276852
厳原町東里,イヅハラマチヒガシザト,IZUHARAMACHI HIGASHIZATO,,34.206015,129.298227
厳原町日吉,イヅハラマチヒヨシ,IZUHARAMACHI HIYOSHI,,34.210126,129.292408
厳原町曲,イヅハラマチマガリ,IZUHARAMACHI MAGARI,,34.222239,129.309425
厳原町宮谷,イヅハラマチミヤダニ,IZUHARAMACHI MIYADANI,,34.211297,129.284522
厳原町与良内院,イヅハラマチヨラナイイン,IZUHARAMACHI YORANAIIN,,34.123194,129.236833
上県町伊奈,カミアガタマチイナ,KAMIAGATAMACHI INA,,34.566456,129.33317
上県町犬ケ浦,カミアガタマチイヌガウラ,KAMIAGATAMACHI INUGAURA,,34.538146,129.337468
