name,name_kana,name_romaji,nickname,latitude,longitude
字西六角,,,,38.099098,140.854674
平等一丁目,ビョウドウ 1,BYODO 1,,38.112895,140.844316
平等四丁目,ビョウドウ 4,BYODO 4,,38.111935,140.84396
竹の里三丁目,タケノサト 3,TAKENOSATO 3,,38.118598,140.848536
桑原西一丁目,クワバラニシ 1,KUWABARANISHI 1,,38.100014,140.85469
松ケ丘四丁目,マツガオカ 4,MATSUGAOKA 4,,38.113003,140.851019
玉浦西一丁目,タマウラニシ 1,TAMAURANISHI 1,,38.108673,140.894648
平等二丁目,ビョウドウ 2,BYODO 2,,38.114707,140.842551
平等三丁目,ビョウドウ 3,BYODO 3,,38.113389,140.841991
館下二丁目,タテシタ 2,TATESHITA 2,,38.11079,140.866178
竹の里二丁目,タケノサト 2,TAKENOSATO 2,,38.116776,140.84435
稲荷町,イナリチョウ,INARICHO,,38.104867,140.862488
玉浦西二丁目,タマウラニシ 2,TAMAURANISHI 2,,38.107615,140.897267
竹の里一丁目,タケノサト 1,TAKENOSATO 1,,38.117155,140.846818
土ケ崎一丁目,ドガサキ 1,DOGASAKI 1,,38.115607,140.861099
たけくま三丁目,タケクマ 3,TAKEKUMA 3,,38.109042,140.852813
玉浦西三丁目,タマウラニシ 3,TAMAURANISHI 3,,38.108777,140.897678
松ケ丘三丁目,マツガオカ 3,MATSUGAOKA 3,,38.114344,140.846469
館下三丁目,タテシタ 3,TATESHITA 3,,38.113389,140.865833
玉浦西四丁目,タマウラニシ 4,TAMAURANISHI 4,,38.107803,140.901102
中央二丁目,チュウオウ 2,CHUO 2,,38.109154,140.867105
大手町,オオテチョウ,OTECHO,,38.106848,140.865157
中央一丁目,チュウオウ 1,CHUO 1,,38.106199,140.866902
土ケ崎三丁目,ドガサキ 3,DOGASAKI 3,,38.113062,140.858585
栄町一丁目,サカエチョウ 1,SAKAECHO 1,,38.114575,140.863857
末広二丁目,スエヒロ 2,SUEHIRO 2,,38.111944,140.876656
梶橋,カジバシ,KAJIBASHI,,38.124392,140.872358
栄町三丁目,サカエチョウ 3,SAKAECHO 3,,38.118536,140.867604
字亀塚,,,,38.121196,140.868485
藤浪二丁目,フジナミ 2,FUJINAMI 2,,38.101644,140.872054
本町,ホンチョウ,HONCHO,,38.103723,140.864058
相の原三丁目,アイノハラ 3,AINOHARA 3,,38.121495,140.872643
桑原三丁目,クワバラ 3,KUWABARA 3,,38.098961,140.857458
桜四丁目,サクラ 4,SAKURA 4,,38.112058,140.870822
中央三丁目,チュウオウ 3,CHUO 3,,38.11253,140.868466
二木二丁目,フタキ 2,FUTAKI 2,,38.107654,140.863507
松ケ丘二丁目,マツガオカ 2,MATSUGAOKA 2,,38.111086,140.847741
空港南五丁目,クウコウミナミ 5,KUKOMINAMI 5,,38.127539,140.923661
土ケ崎二丁目,ドガサキ 2,DOGASAKI 2,,38.113033,140.861846
字吹上西,,,,38.095655,140.853843
桜一丁目,サクラ 1,SAKURA 1,,38.104273,140.869641
里の杜二丁目,サトノモリ 2,SATONOMORI 2,,38.103758,140.876994
館下一丁目,タテシタ 1,TATESHITA 1,,38.110527,140.863667
桜二丁目,サクラ 2,SAKURA 2,,38.106452,140.870498
桑原二丁目,クワバラ 2,KUWABARA 2,,38.101506,140.857719
土ケ崎四丁目,ドガサキ 4,DOGASAKI 4,,38.112753,140.855457
桜五丁目,サクラ 5,SAKURA 5,,38.111942,140.873721
松ケ丘一丁目,マツガオカ 1,MATSUGAOKA 1,,38.110541,140.850982
末広一丁目,スエヒロ 1,SUEHIRO 1,,38.106432,140.873996
藤浪一丁目,フジナミ 1,FUJINAMI 1,,38.101688,140.867841
桑原一丁目,クワバラ 1,KUWABARA 1,,38.101737,140.862551
相の原一丁目,アイノハラ 1,AINOHARA 1,,38.11479,140.872947
里の杜一丁目,サトノモリ 1,SATONOMORI 1,,38.107441,140.876678
空港南四丁目,クウコウミナミ 4,KUKOMINAMI 4,,38.122997,140.919899
桜三丁目,サクラ 3,SAKURA 3,,38.108782,140.871422
吹上二丁目,フキアゲ 2,FUKIAGE 2,,38.093842,140.859558
二木一丁目,フタキ 1,FUTAKI 1,,38.10602,140.860131
空港南一丁目,クウコウミナミ 1,KUKOMINAMI 1,,38.123646,140.915421
たけくま二丁目,タケクマ 2,TAKEKUMA 2,,38.109138,140.855562
桑原四丁目,クワバラ 4,KUWABARA 4,,38.099521,140.863748
相の原二丁目,アイノハラ 2,AINOHARA 2,,38.118085,140.872939
空港南二丁目,クウコウミナミ 2,KUKOMINAMI 2,,38.121992,140.912188
吹上一丁目,フキアゲ 1,FUKIAGE 1,,38.09703,140.861939
たけくま一丁目,タケクマ 1,TAKEKUMA 1,,38.107946,140.859093
中央四丁目,チュウオウ 4,CHUO 4,,38.117954,140.869599
里の杜三丁目,サトノモリ 3,SATONOMORI 3,,38.107019,140.87985
空港南三丁目,クウコウミナミ 3,KUKOMINAMI 3,,38.119941,140.917329
字荒井,,,,38.115166,140.850209
阿武隈二丁目,アブクマ 2,ABUKUMA 2,,38.096217,140.867706
字武隈,,,,38.10516,140.854353
阿武隈一丁目,アブクマ 1,ABUKUMA 1,,38.097956,140.872199
吹上三丁目,フキアゲ 3,FUKIAGE 3,,38.094317,140.856102
大昭和,ダイショウワ,DAISHOWA,,38.088816,140.860273
長岡,ナガオカ,NAGAOKA,,38.125814,140.856914
小川,オガワ,OGAWA,,38.134043,140.86677
北長谷,キタハセ,KITAHASE,,38.105858,140.838778
南長谷,ミナミハセ,MINAMIHASE,,38.091686,140.841101
寺島,テラシマ,TERASHIMA,,38.06862,140.917064
志賀,シガ,SHIGA,,38.134676,140.809731
押分,オシワケ,OSHIWAKE,,38.106389,140.917088
恵み野二丁目,メグミノ 2,MEGUMINO 2,,38.107502,140.905969
恵み野三丁目,メグミノ 3,MEGUMINO 3,,38.106747,140.909208
恵み野一丁目,メグミノ 1,MEGUMINO 1,,38.108625,140.903943
早股,ハヤマタ,HAYAMATA,,38.097119,140.906517
字東谷地,,,,38.119547,140.865272
字山桜,,,,38.120616,140.854851
三色吉,ミイロヨシ,MIIROYOSHI,,38.119012,140.838982
あさひ野二丁目,アサヒノ 2,ASAHINO 2,,38.118484,140.855788
字朝日,,,,38.115574,140.854603
朝日二丁目,アサヒ 2,ASAHI 2,,38.116407,140.85642
字敷島,,,,38.120978,140.862278
字大和,,,,38.119788,140.859176
あさひ野一丁目,アサヒノ 1,ASAHINO 1,,38.118103,140.859816
朝日一丁目,アサヒ 1,ASAHI 1,,38.116061,140.858715
栄町二丁目,サカエチョウ 2,SAKAECHO 2,,38.116382,140.864635
空港西一丁目,クウコウニシ 1,KUKONISHI 1,,38.136111,140.90437
下野郷,シモノゴウ,SHIMONOGO,,38.131505,140.914601
空港南六丁目,クウコウミナミ 6,KUKOMINAMI 6,,38.126772,140.926683
志賀,シガ,SHIGA,大畑,38.127876,140.789123
志賀,シガ,SHIGA,一の坂,38.133501,140.786356
志賀,シガ,SHIGA,大日向,38.134813,140.788672
志賀,シガ,SHIGA,大師,38.138875,140.791853
志賀,シガ,SHIGA,深山,38.142927,140.798077
志賀,シガ,SHIGA,新深田,38.132086,140.79171
志賀,シガ,SHIGA,上芦ケ沢,38.131266,140.79324
志賀,シガ,SHIGA,薬師,38.138182,140.797294
志賀,シガ,SHIGA,下芦ケ沢,38.128736,140.800391
志賀,シガ,SHIGA,三本木,38.134622,140.796254
志賀,シガ,SHIGA,鳥居原,38.131393,140.796817
志賀,シガ,SHIGA,大石,38.128397,140.812438
志賀,シガ,SHIGA,上原,38.131874,140.797563
志賀,シガ,SHIGA,下原,38.133592,140.799541
志賀,シガ,SHIGA,其木原,38.13225,140.802442
志賀,シガ,SHIGA,雨堤,38.136305,140.803304
志賀,シガ,SHIGA,銅谷,38.137951,140.807564
志賀,シガ,SHIGA,中井,38.132279,140.806995
志賀,シガ,SHIGA,祢宜内,38.141129,140.808228
志賀,シガ,SHIGA,窪沢,38.13352,140.809677
志賀,シガ,SHIGA,大日,38.132702,140.811753
志賀,シガ,SHIGA,八森,38.137541,140.813807
志賀,シガ,SHIGA,新大日,38.133447,140.813069
志賀,シガ,SHIGA,猪ノ倉,38.132675,140.816084
志賀,シガ,SHIGA,長坂,38.135495,140.818847
志賀,シガ,SHIGA,萩の沢,38.12776,140.827598
志賀,シガ,SHIGA,古沢元,38.134628,140.821777
志賀,シガ,SHIGA,雷神,38.135358,140.823251
志賀,シガ,SHIGA,宮下,38.131934,140.823737
志賀,シガ,SHIGA,八幡,38.135585,140.825959
長岡,ナガオカ,NAGAOKA,栗木平東,38.126671,140.835011
北長谷,キタハセ,KITAHASE,新明寺,38.100715,140.83014
南長谷,ミナミハセ,MINAMIHASE,泉,38.099476,140.840773
志賀,シガ,SHIGA,熊野,38.132193,140.827704
北長谷,キタハセ,KITAHASE,畑堤上西,38.10609,140.833477
北長谷,キタハセ,KITAHASE,畑堤上南,38.103388,140.832931
志賀,シガ,SHIGA,上塩ノ入,38.136234,140.829896
南長谷,ミナミハセ,MINAMIHASE,鍜冶,38.092152,140.834005
三色吉,ミイロヨシ,MIIROYOSHI,竹倉部,38.115017,140.835807
志賀,シガ,SHIGA,新四十刈,38.132875,140.829139
志賀,シガ,SHIGA,下塩ノ入,38.134087,140.833081
南長谷,ミナミハセ,MINAMIHASE,山小屋,38.095341,140.833319
北長谷,キタハセ,KITAHASE,畑向山南,38.109869,140.839573
南長谷,ミナミハセ,MINAMIHASE,中谷地,38.087657,140.837076
三色吉,ミイロヨシ,MIIROYOSHI,四本木,38.12149,140.836604
長岡,ナガオカ,NAGAOKA,西坪ノ内,38.129405,140.837944
長岡,ナガオカ,NAGAOKA,北原山,38.125905,140.839043
南長谷,ミナミハセ,MINAMIHASE,西宝坂,38.085792,140.83669
三色吉,ミイロヨシ,MIIROYOSHI,山神,38.124335,140.842296
小川,オガワ,OGAWA,上河原,38.133074,140.838114
南長谷,ミナミハセ,MINAMIHASE,岩下,38.089779,140.836697
