name,name_kana,name_romaji,nickname,latitude,longitude
大字尼子,,,,35.212319,136.250601
大字池寺,,,,35.188397,136.277865
大字長寺,,,,35.192042,136.262138
大字金屋,,,,35.201463,136.277246
大字北落,,,,35.209451,136.271166
大字呉竹,,,,35.222702,136.253055
大字小川原,,,,35.22082,136.26181
大字在士,,,,35.207206,136.260503
大字下之郷,,,,35.201458,136.251594
大字正楽寺,,,,35.194147,136.284877
大字法養寺,,,,35.199481,136.26055
大字横関,,,,35.203452,136.266866
