name,name_kana,name_romaji,nickname,latitude,longitude
有田,アリタ,ARITA,,33.544417,130.222544
有田中央一丁目,アリタチュウオウ 1,ARITACHUO 1,,33.546107,130.210782
有田中央二丁目,アリタチュウオウ 2,ARITACHUO 2,,33.546693,130.214856
飯原,イイバル,IIBARU,,33.502543,130.213128
池田,イケダ,IKEDA,,33.562667,130.235335
井田,イタ,ITA,,33.547874,130.235005
板持,イタモチ,ITAMOCHI,,33.574673,130.228139
板持一丁目,イタモチ 1,ITAMOCHI 1,,33.571315,130.231441
板持二丁目,イタモチ 2,ITAMOCHI 2,,33.574435,130.232282
岩本,イワモト,IWAMOTO,,33.551015,130.173512
井原,イワラ,IWARA,,33.519892,130.248756
浦志,ウラシ,URASHI,,33.566696,130.207466
浦志一丁目,ウラシ 1,URASHI 1,,33.561154,130.212058
浦志二丁目,ウラシ 2,URASHI 2,,33.563085,130.210986
浦志三丁目,ウラシ 3,URASHI 3,,33.565111,130.210779
潤,ウルウ,URU,,33.56848,130.214345
潤一丁目,ウルウ 1,URU 1,,33.560167,130.218243
潤二丁目,ウルウ 2,URU 2,,33.562524,130.217478
潤三丁目,ウルウ 3,URU 3,,33.564782,130.216613
潤四丁目,ウルウ 4,URU 4,,33.566767,130.215204
王丸,オウマル,OMARU,,33.519597,130.28137
大浦,オオウラ,OURA,,33.546834,130.192231
荻浦,オギノウラ,OGINORA,,33.553123,130.186014
加布里,カフリ,KAFURI,,33.546371,130.164877
神在,カミアリ,KAMIARI,,33.541082,130.174972
川付,カワツキ,KAWATSUKI,,33.502853,130.18712
川原,カワバル,KAWABARU,,33.507382,130.274784
蔵持,クラモチ,KURAMOCHI,,33.537302,130.223302
高来寺,コウライジ,KORAIJI,,33.5547,130.247612
香力,コウリキ,KORIKI,,33.526893,130.214772
志登,シト,SHITO,,33.570548,130.221398
篠原,シノワラ,SHINOWARA,,33.555492,130.215075
篠原西一丁目,シノワラニシ 1,SHINOWARANISHI 1,,33.550923,130.204038
篠原西二丁目,シノワラニシ 2,SHINOWARANISHI 2,,33.550212,130.208114
篠原西三丁目,シノワラニシ 3,SHINOWARANISHI 3,,33.548051,130.20887
篠原東一丁目,シノワラヒガシ 1,SHINOWARAHIGASHI 1,,33.552925,130.209776
篠原東二丁目,シノワラヒガシ 2,SHINOWARAHIGASHI 2,,33.551452,130.211386
篠原東三丁目,シノワラヒガシ 3,SHINOWARAHIGASHI 3,,33.551184,130.215827
志摩井田原,シマイダハラ,SHIMA IDAHARA,,33.592769,130.185578
志摩稲留,シマイナドメ,SHIMA INADOME,,33.59116,130.173174
志摩稲葉,シマイナバ,SHIMA INABA,,33.574334,130.185013
志摩岐志,シマキシ,SHIMA KISHI,,33.578086,130.127209
志摩久家,シマクガ,SHIMA KUGA,,33.557347,130.140596
志摩芥屋,シマケヤ,SHIMA KEYA,,33.58041,130.104763
志摩小金丸,シマコガネマル,SHIMA KOGANEMARU,,33.585759,130.160947
志摩小富士,シマコフジ,SHIMA KOFUJI,,33.564222,130.170987
志摩桜井,シマサクライ,SHIMA SAKURAI,,33.620101,130.190956
志摩新町,シマシンマチ,SHIMA SHIMMACHI,,33.57171,130.134287
志摩津和崎,シマツワザキ,SHIMA TSUWAZAKI,,33.578898,130.190192
志摩西貝塚,シマニシカイヅカ,SHIMA NISHIKAIZUKA,,33.578883,130.141427
志摩野北,シマノギタ,SHIMA NOGITA,,33.614485,130.169574
志摩初,シマハツ,SHIMA HATSU,,33.58233,130.179352
志摩馬場,シマババ,SHIMA BABA,,33.593165,130.207589
志摩東貝塚,シマヒガシカイヅカ,SHIMA HIGASHIKAIZUKA,,33.579124,130.14995
志摩姫島,シマヒメシマ,SHIMA HIMESHIMA,,33.57009,130.048938
志摩船越,シマフナコシ,SHIMA FUNAKOSHI,,33.554001,130.120437
志摩松隈,シママツグマ,SHIMA MATSUGUMA,,33.589229,130.198361
志摩御床,シマミトコ,SHIMA MITOKO,,33.567883,130.145292
志摩師吉,シマモロヨシ,SHIMA MOROYOSHI,,33.573615,130.173474
志摩吉田,シマヨシダ,SHIMA YOSHIDA,,33.603278,130.184869
白糸,シライト,SHIRAITO,,33.481179,130.176451
新田,シンデン,SHINDEN,,33.56888,130.194927
瑞梅寺,ズイバイジ,ZUIBAIJI,,33.496024,130.250396
末永,スエナガ,SUENAGA,,33.52701,130.275472
瀬戸,セト,SETO,,33.509287,130.182989
曽根,ソネ,SONE,,33.537234,130.231079
大門,ダイモン,DAIMON,,33.549453,130.247636
高上,タカウエ,TAKAUE,,33.517665,130.23082
高祖,タカス,TAKASU,,33.539845,130.266292
高田,タカタ,TAKATA,,33.566633,130.236566
高田一丁目,タカタ 1,TAKATA 1,,33.567471,130.233685
高田二丁目,タカタ 2,TAKATA 2,,33.569422,130.231567
高田三丁目,タカタ 3,TAKATA 3,,33.574505,130.234963
高田四丁目,タカタ 4,TAKATA 4,,33.572049,130.237292
高田五丁目,タカタ 5,TAKATA 5,,33.569317,130.237473
多久,タク,TAKU,,33.543054,130.194529
千早新田,チハヤシンデン,CHIHAYASHINDEN,,33.553524,130.171395
泊,トマリ,TOMARI,,33.578154,130.213011
富,トミ,TOMI,,33.538558,130.208883
長野,ナガノ,NAGANO,,33.495425,130.198435
西堂,ニシノドウ,NISHINODO,,33.519904,130.260463
二丈一貴山,ニジョウイキサン,NIJO IKISAN,,33.489135,130.141286
二丈石崎,ニジョウイシザキ,NIJO ISHIZAKI,,33.519489,130.162785
二丈片山,ニジョウカタヤマ,NIJO KATAYAMA,,33.526196,130.15085
二丈上深江,ニジョウカミフカエ,NIJO KAMIFUKAE,,33.513285,130.157292
二丈鹿家,ニジョウシカカ,NIJO SHIKAKA,,33.482425,130.056456
二丈武,ニジョウタケ,NIJO TAKE,,33.527642,130.169521
二丈田中,ニジョウタナカ,NIJO TANAKA,,33.536533,130.166204
二丈長石,ニジョウナガイシ,NIJO NAGAISHI,,33.50455,130.166273
二丈浜窪,ニジョウハマクボ,NIJO HAMAKUBO,,33.537976,130.157638
二丈波呂,ニジョウハロ,NIJO HARO,,33.506048,130.174286
二丈深江,ニジョウフカエ,NIJO FUKAE,,33.506658,130.135552
二丈福井,ニジョウフクイ,NIJO FUKUI,,33.495394,130.104097
