name,name_kana,name_romaji,nickname,latitude,longitude
安土町一丁目,アヅチマチ 1,AZUCHIMACHI 1,,34.684335,135.508136
安土町二丁目,アヅチマチ 2,AZUCHIMACHI 2,,34.684411,135.505043
安土町三丁目,アヅチマチ 3,AZUCHIMACHI 3,,34.684419,135.502142
淡路町一丁目,アワジマチ 1,AWAJIMACHI 1,,34.686805,135.508588
淡路町二丁目,アワジマチ 2,AWAJIMACHI 2,,34.686885,135.505072
淡路町三丁目,アワジマチ 3,AWAJIMACHI 3,,34.686925,135.502199
淡路町四丁目,アワジマチ 4,AWAJIMACHI 4,,34.686874,135.499264
安堂寺町一丁目,アンドウジマチ 1,ANDOJIMACHI 1,,34.676224,135.518986
安堂寺町二丁目,アンドウジマチ 2,ANDOJIMACHI 2,,34.676274,135.514851
和泉町一丁目,イズミマチ 1,IZUMIMACHI 1,,34.679667,135.515559
和泉町二丁目,イズミマチ 2,IZUMIMACHI 2,,34.679833,135.513142
糸屋町一丁目,イトヤマチ 1,ITOYAMACHI 1,,34.685465,135.515666
糸屋町二丁目,イトヤマチ 2,ITOYAMACHI 2,,34.685408,135.513099
今橋一丁目,イマバシ 1,IMABASHI 1,,34.690303,135.507905
今橋二丁目,イマバシ 2,IMABASHI 2,,34.690517,135.505108
今橋三丁目,イマバシ 3,IMABASHI 3,,34.690687,135.502279
今橋四丁目,イマバシ 4,IMABASHI 4,,34.690736,135.499556
上汐一丁目,ウエシオ 1,UESHIO 1,,34.670519,135.517889
上汐二丁目,ウエシオ 2,UESHIO 2,,34.667804,135.517375
上本町西一丁目,ウエホンマチニシ 1,UEHOMMACHINISHI 1,,34.675156,135.519223
上本町西二丁目,ウエホンマチニシ 2,UEHOMMACHINISHI 2,,34.673994,135.51911
上本町西三丁目,ウエホンマチニシ 3,UEHOMMACHINISHI 3,,34.67248,135.519186
上本町西四丁目,ウエホンマチニシ 4,UEHOMMACHINISHI 4,,34.670429,135.519576
上本町西五丁目,ウエホンマチニシ 5,UEHOMMACHINISHI 5,,34.667604,135.5191
上町,ウエマチ,UEMACHI,,34.677534,135.520976
