name,name_kana,name_romaji,nickname,latitude,longitude
鍛冶屋町一丁目,カジヤチョウ 1,KAJIYACHO 1,,34.669815,135.176854
本町一丁目,ホンマチ 1,HOMMACHI 1,,34.669995,135.174627
西柳原町,ニシヤナギワラチョウ,NISHIYANAGIWARACHO,,34.669608,135.168687
門口町,モングチチョウ,MONGUCHICHO,,34.670512,135.170186
鍛冶屋町二丁目,カジヤチョウ 2,KAJIYACHO 2,,34.669866,135.17557
本町二丁目,ホンマチ 2,HOMMACHI 2,,34.669835,135.17377
西仲町,ニシナカマチ,NISHINAKAMACHI,,34.669762,135.172896
西宮内町,ニシミヤウチチョウ,NISHIMIYAUCHICHO,,34.669705,135.1717
大開通九丁目,ダイカイドオリ 9,DAIKAIDORI 9,,34.669467,135.160425
水木通十丁目,ミズキドオリ 10,MIZUKIDORI 10,,34.669724,135.15853
塚本通六丁目,ツカモトドオリ 6,TSUKAMOTODORI 6,,34.670035,135.163749
羽坂通三丁目,ハサカドオリ 3,HASAKADORI 3,,34.670066,135.166036
三川口町三丁目,ミカワグチチョウ 3,MIKAWAGUCHICHO 3,,34.670969,135.16841
羽坂通四丁目,ハサカドオリ 4,HASAKADORI 4,,34.669355,135.164973
塚本通七丁目,ツカモトドオリ 7,TSUKAMOTODORI 7,,34.669449,135.162545
大開通八丁目,ダイカイドオリ 8,DAIKAIDORI 8,,34.670188,135.16153
水木通九丁目,ミズキドオリ 9,MIZUKIDORI 9,,34.670477,135.159726
出在家町一丁目,デザイケチョウ 1,DEZAIKECHO 1,,34.663402,135.17656
今出在家町一丁目,イマデザイケチョウ 1,IMADEZAIKECHO 1,,34.661578,135.177245
島上町二丁目,シマガミチョウ 2,SHIMAGAMICHO 2,,34.668794,135.175441
島上町一丁目,シマガミチョウ 1,SHIMAGAMICHO 1,,34.668841,135.176849
神明町,シンメイチョウ,SHIMMEICHO,,34.66795,135.172359
北逆瀬川町,キタサカセガワチョウ,KITASAKASEGAWACHO,,34.668218,135.171275
南仲町,ミナミナカマチ,MINAMINAKAMACHI,,34.667723,135.173229
船大工町,フナダイクチョウ,FUNADAIKUCHO,,34.667554,135.175282
磯之町,イソノチョウ,ISONOCHO,,34.667565,135.174137
南逆瀬川町,ミナミサカセガワチョウ,MINAMISAKASEGAWACHO,,34.666753,135.170923
小河通一丁目,オガワドオリ 1,OGAWADORI 1,,34.665726,135.17078
築地町,ツキジチョウ,TSUKIJICHO,,34.664895,135.182146
中之島一丁目,ナカノシマ 1,NAKANOSHIMA 1,,34.666106,135.176974
中之島二丁目,ナカノシマ 2,NAKANOSHIMA 2,,34.665313,135.174149
切戸町,キレトチョウ,KIRETOCHO,,34.665356,135.171933
今出在家町四丁目,イマデザイケチョウ 4,IMADEZAIKECHO 4,,34.661898,135.171925
出在家町二丁目,デザイケチョウ 2,DEZAIKECHO 2,,34.662989,135.17409
御崎本町一丁目,ミサキホンマチ 1,MISAKIHOMMACHI 1,,34.66164,135.170327
今出在家町二丁目,イマデザイケチョウ 2,IMADEZAIKECHO 2,,34.661286,135.175943
