name,name_kana,name_romaji,nickname,latitude,longitude
字並里,,,,26.654175,127.924161
字伊豆味,,,,26.651113,127.947337
字伊野波,,,,26.663711,127.914649
字健堅,,,,26.644634,127.889544
字備瀬,,,,26.701693,127.884452
字具志堅,,,,26.694214,127.912446
字北里,,,,26.691036,127.900587
字古島,,,,26.6784,127.903527
字嘉津宇,,,,26.685026,127.909825
字大嘉陽,,,,26.644856,127.910197
字大堂,,,,26.678698,127.917668
字大浜,,,,26.654398,127.885087
字山川,,,,26.684194,127.880913
字山里,,,,26.669565,127.908592
字崎本部,,,,26.624728,127.898612
字新里,,,,26.699843,127.895707
字東,,,,26.657301,127.900857
字浜元,,,,26.67221,127.89224
字浦崎,,,,26.67765,127.892739
字渡久地,,,,26.662204,127.895834
字瀬底,,,,26.641602,127.864071
字石川,,,,26.692401,127.881857
字謝花,,,,26.683097,127.899015
字谷茶,,,,26.6568,127.889435
字豊原,,,,26.685836,127.890796
字辺名地,,,,26.641899,127.906041
字野原,,,,26.667436,127.897092
