name,name_kana,name_romaji,nickname,latitude,longitude
青葉台一丁目,アオバダイ 1,AOBADAI 1,,35.648126,139.6969
青葉台二丁目,アオバダイ 2,AOBADAI 2,,35.650528,139.694645
青葉台三丁目,アオバダイ 3,AOBADAI 3,,35.651328,139.691599
青葉台四丁目,アオバダイ 4,AOBADAI 4,,35.654794,139.69112
大岡山一丁目,オオオカヤマ 1,OOKAYAMA 1,,35.611092,139.681938
大岡山二丁目,オオオカヤマ 2,OOKAYAMA 2,,35.606735,139.682526
大橋一丁目,オオハシ 1,OHASHI 1,,35.651345,139.6878
大橋二丁目,オオハシ 2,OHASHI 2,,35.653326,139.686537
柿の木坂一丁目,カキノキザカ 1,KAKINOKIZAKA 1,,35.621011,139.677173
柿の木坂二丁目,カキノキザカ 2,KAKINOKIZAKA 2,,35.624884,139.675597
柿の木坂三丁目,カキノキザカ 3,KAKINOKIZAKA 3,,35.627969,139.673454
上目黒一丁目,カミメグロ 1,KAMIMEGURO 1,,35.645033,139.699835
上目黒二丁目,カミメグロ 2,KAMIMEGURO 2,,35.641189,139.696903
上目黒三丁目,カミメグロ 3,KAMIMEGURO 3,,35.644145,139.694942
上目黒四丁目,カミメグロ 4,KAMIMEGURO 4,,35.640842,139.690658
上目黒五丁目,カミメグロ 5,KAMIMEGURO 5,,35.642905,139.688076
駒場一丁目,コマバ 1,KOMABA 1,,35.657033,139.686825
駒場二丁目,コマバ 2,KOMABA 2,,35.657634,139.681135
駒場三丁目,コマバ 3,KOMABA 3,,35.660103,139.684672
駒場四丁目,コマバ 4,KOMABA 4,,35.661669,139.678889
五本木一丁目,ゴホンギ 1,GOHONGI 1,,35.638109,139.688822
五本木二丁目,ゴホンギ 2,GOHONGI 2,,35.634356,139.687424
五本木三丁目,ゴホンギ 3,GOHONGI 3,,35.631408,139.683711
下目黒一丁目,シモメグロ 1,SHIMOMEGURO 1,,35.63197,139.713393
下目黒二丁目,シモメグロ 2,SHIMOMEGURO 2,,35.631037,139.711269
下目黒三丁目,シモメグロ 3,SHIMOMEGURO 3,,35.62935,139.709067
下目黒四丁目,シモメグロ 4,SHIMOMEGURO 4,,35.629413,139.706178
下目黒五丁目,シモメグロ 5,SHIMOMEGURO 5,,35.627957,139.703237
下目黒六丁目,シモメグロ 6,SHIMOMEGURO 6,,35.628061,139.698687
自由が丘一丁目,ジユウガオカ 1,JIYUGAOKA 1,,35.610138,139.66995
自由が丘二丁目,ジユウガオカ 2,JIYUGAOKA 2,,35.610267,139.667041
自由が丘三丁目,ジユウガオカ 3,JIYUGAOKA 3,,35.610635,139.664463
洗足一丁目,センゾク 1,SENZOKU 1,,35.614511,139.694861
洗足二丁目,センゾク 2,SENZOKU 2,,35.610703,139.693728
平町一丁目,タイラマチ 1,TAIRAMACHI 1,,35.61802,139.679272
平町二丁目,タイラマチ 2,TAIRAMACHI 2,,35.615008,139.680839
鷹番一丁目,タカバン 1,TAKABAN 1,,35.625719,139.687414
鷹番二丁目,タカバン 2,TAKABAN 2,,35.628924,139.687875
鷹番三丁目,タカバン 3,TAKABAN 3,,35.629039,139.683529
中央町一丁目,チュウオウチョウ 1,CHUOCHO 1,,35.628838,139.692733
中央町二丁目,チュウオウチョウ 2,CHUOCHO 2,,35.631626,139.689354
中町一丁目,ナカチョウ 1,NAKACHO 1,,35.631231,139.697342
中町二丁目,ナカチョウ 2,NAKACHO 2,,35.633256,139.694075
中根一丁目,ナカネ 1,NAKANE 1,,35.616015,139.673269
中根二丁目,ナカネ 2,NAKANE 2,,35.614551,139.675877
中目黒一丁目,ナカメグロ 1,NAKAMEGURO 1,,35.643726,139.702789
中目黒二丁目,ナカメグロ 2,NAKAMEGURO 2,,35.640829,139.705866
中目黒三丁目,ナカメグロ 3,NAKAMEGURO 3,,35.639772,139.700745
中目黒四丁目,ナカメグロ 4,NAKAMEGURO 4,,35.637258,139.702698
中目黒五丁目,ナカメグロ 5,NAKAMEGURO 5,,35.635895,139.697989
原町一丁目,ハラマチ 1,HARAMACHI 1,,35.616487,139.696124
原町二丁目,ハラマチ 2,HARAMACHI 2,,35.615536,139.691538
東が丘一丁目,ヒガシガオカ 1,HIGASHIGAOKA 1,,35.62866,139.669127
東が丘二丁目,ヒガシガオカ 2,HIGASHIGAOKA 2,,35.628086,139.664591
東山一丁目,ヒガシヤマ 1,HIGASHIYAMA 1,,35.646509,139.692993
東山二丁目,ヒガシヤマ 2,HIGASHIYAMA 2,,35.646397,139.687225
東山三丁目,ヒガシヤマ 3,HIGASHIYAMA 3,,35.649055,139.686508
碑文谷一丁目,ヒモンヤ 1,HIMONYA 1,,35.620583,139.690092
碑文谷二丁目,ヒモンヤ 2,HIMONYA 2,,35.62275,139.687168
碑文谷三丁目,ヒモンヤ 3,HIMONYA 3,,35.617849,139.685434
碑文谷四丁目,ヒモンヤ 4,HIMONYA 4,,35.620316,139.683401
碑文谷五丁目,ヒモンヤ 5,HIMONYA 5,,35.623044,139.682069
碑文谷六丁目,ヒモンヤ 6,HIMONYA 6,,35.626831,139.682714
三田一丁目,ミタ 1,MITA 1,,35.640391,139.71378
三田二丁目,ミタ 2,MITA 2,,35.639391,139.710155
緑が丘一丁目,ミドリガオカ 1,MIDORIGAOKA 1,,35.609318,139.677707
緑が丘二丁目,ミドリガオカ 2,MIDORIGAOKA 2,,35.610261,139.673653
緑が丘三丁目,ミドリガオカ 3,MIDORIGAOKA 3,,35.603956,139.679963
南一丁目,ミナミ 1,MINAMI 1,,35.614501,139.689037
南二丁目,ミナミ 2,MINAMI 2,,35.61552,139.686005
南三丁目,ミナミ 3,MINAMI 3,,35.612845,139.685997
目黒一丁目,メグロ 1,MEGURO 1,,35.636092,139.710938
目黒二丁目,メグロ 2,MEGURO 2,,35.635434,139.70777
目黒三丁目,メグロ 3,MEGURO 3,,35.633804,139.705352
目黒四丁目,メグロ 4,MEGURO 4,,35.632853,139.701517
目黒本町一丁目,メグロホンチョウ 1,MEGUROHONCHO 1,,35.62674,139.69588
目黒本町二丁目,メグロホンチョウ 2,MEGUROHONCHO 2,,35.624841,139.692463
目黒本町三丁目,メグロホンチョウ 3,MEGUROHONCHO 3,,35.622478,139.700998
目黒本町四丁目,メグロホンチョウ 4,MEGUROHONCHO 4,,35.622811,139.695689
目黒本町五丁目,メグロホンチョウ 5,MEGUROHONCHO 5,,35.619277,139.699513
目黒本町六丁目,メグロホンチョウ 6,MEGUROHONCHO 6,,35.620172,139.695182
八雲一丁目,ヤクモ 1,YAKUMO 1,,35.619449,139.67294
八雲二丁目,ヤクモ 2,YAKUMO 2,,35.618287,139.670026
八雲三丁目,ヤクモ 3,YAKUMO 3,,35.617153,139.666667
八雲四丁目,ヤクモ 4,YAKUMO 4,,35.623987,139.671223
八雲五丁目,ヤクモ 5,YAKUMO 5,,35.622805,139.667338
祐天寺一丁目,ユウテンジ 1,YUTENJI 1,,35.638997,139.694087
祐天寺二丁目,ユウテンジ 2,YUTENJI 2,,35.636776,139.692932
