name,name_kana,name_romaji,nickname,latitude,longitude
相生町,アイオイチョウ,AIOICHO,,38.259076,140.337672
青田一丁目,アオタ 1,AOTA 1,,38.22547,140.329118
青田二丁目,アオタ 2,AOTA 2,,38.22618,140.334657
青田三丁目,アオタ 3,AOTA 3,,38.223266,140.332035
青田四丁目,アオタ 4,AOTA 4,,38.22371,140.328611
青田五丁目,アオタ 5,AOTA 5,,38.222154,140.329651
青田南,アオタミナミ,AOTAMINAMI,,38.220714,140.32707
明石堂,アカシドウ,AKASHIDO,,38.228951,140.292897
あかねケ丘一丁目,アカネガオカ 1,AKANEGAOKA 1,,38.250198,140.311308
あかねケ丘二丁目,アカネガオカ 2,AKANEGAOKA 2,,38.245721,140.310193
あかねケ丘三丁目,アカネガオカ 3,AKANEGAOKA 3,,38.242139,140.309268
あけぼの一丁目,アケボノ 1,AKEBONO 1,,38.313451,140.362092
あけぼの二丁目,アケボノ 2,AKEBONO 2,,38.313547,140.359751
あこや町一丁目,アコヤチョウ 1,AKOYACHO 1,,38.240038,140.350896
あこや町二丁目,アコヤチョウ 2,AKOYACHO 2,,38.24231,140.352468
あこや町三丁目,アコヤチョウ 3,AKOYACHO 3,,38.240395,140.354958
旭が丘,アサヒガオカ,ASAHIGAOKA,,38.227021,140.33055
あさひ町,アサヒマチ,ASAHIMACHI,,38.243303,140.363634
あずま町,アズマチョウ,AZUMACHO,,38.238828,140.337376
阿弥陀,,,,38.250965,140.271179
荒楯町一丁目,アラタテチョウ 1,ARATATECHO 1,,38.233512,140.333223
荒楯町二丁目,アラタテチョウ 2,ARATATECHO 2,,38.231137,140.333144
飯沢,イイザワ,IIZAWA,,38.240955,140.302226
飯田一丁目,イイダ 1,IIDA 1,,38.216253,140.324533
飯田二丁目,イイダ 2,IIDA 2,,38.216442,140.327945
飯田三丁目,イイダ 3,IIDA 3,,38.213973,140.330905
飯田四丁目,イイダ 4,IIDA 4,,38.213849,140.326862
飯田五丁目,イイダ 5,IIDA 5,,38.211435,140.32522
飯田西一丁目,イイダニシ 1,IIDANISHI 1,,38.216726,140.322626
飯田西二丁目,イイダニシ 2,IIDANISHI 2,,38.215582,140.318019
飯田西三丁目,イイダニシ 3,IIDANISHI 3,,38.212867,140.317382
飯田西四丁目,イイダニシ 4,IIDANISHI 4,,38.213296,140.320837
飯田西五丁目,イイダニシ 5,IIDANISHI 5,,38.211747,140.321342
飯塚口,イイヅカグチ,IIZUKAGUCHI,,38.257641,140.303537
石関,イシゼキ,ISHIZEKI,,38.252847,140.305489
石寺,,,,38.228057,140.285808
五十鈴一丁目,イスズ 1,ISUZU 1,,38.271661,140.353291
五十鈴二丁目,イスズ 2,ISUZU 2,,38.273776,140.354458
五十鈴三丁目,イスズ 3,ISUZU 3,,38.276069,140.355874
泉町,イズミチョウ,IZUMICHO,,38.274231,140.345019
五日町,イツカマチ,ITSUKAMACHI,,38.244882,140.323463
鋳物町,イモノマチ,IMONOMACHI,,38.232243,140.28879
印役町一丁目,インヤクマチ 1,INYAKUMACHI 1,,38.263459,140.349619
印役町二丁目,インヤクマチ 2,INYAKUMACHI 2,,38.263595,140.3532
印役町三丁目,インヤクマチ 3,INYAKUMACHI 3,,38.265184,140.351542
印役町四丁目,インヤクマチ 4,INYAKUMACHI 4,,38.267624,140.35191
印役町五丁目,インヤクマチ 5,INYAKUMACHI 5,,38.268321,140.347729
内表東,ウチオモテヒガシ,UCHIOMOTEHIGASHI,,38.292127,140.305905
内城,,,,38.2674,140.268717
馬洗場,,,,38.310451,140.312794
梅野木前,ウメノキマエ,UMENOKIMAE,,38.282696,140.312931
上江,,,,38.274457,140.286008
上町一丁目,ウワマチ 1,UWAMACHI 1,,38.242691,140.320654
上町二丁目,ウワマチ 2,UWAMACHI 2,,38.245375,140.319388
上町三丁目,ウワマチ 3,UWAMACHI 3,,38.24207,140.316703
上町四丁目,ウワマチ 4,UWAMACHI 4,,38.244274,140.314332
上町五丁目,ウワマチ 5,UWAMACHI 5,,38.241571,140.313334
江俣一丁目,エマタ 1,EMATA 1,,38.274316,140.323403
江俣二丁目,エマタ 2,EMATA 2,,38.278095,140.323108
江俣三丁目,エマタ 3,EMATA 3,,38.275204,140.320199
江俣四丁目,エマタ 4,EMATA 4,,38.276889,140.316847
江俣五丁目,エマタ 5,EMATA 5,,38.278922,140.313606
円応寺町,エンノウジマチ,ENNOJIMACHI,,38.267026,140.344137
追散,,,,38.269749,140.302154
大字青野,,,,38.284609,140.382142
大字青柳,,,,38.299448,140.351406
大字今塚,,,,38.291894,140.32397
大字岩波,,,,38.211356,140.357264
大字内表,,,,38.294926,140.296223
大字江俣,,,,38.288303,140.311736
大字大森,,,,38.308732,140.395661
大字風間,,,,38.295527,140.381874
大字柏倉,,,,38.221614,140.232111
大字片谷地,,,,38.21321,140.304964
大字上椹沢,,,,38.26509,140.296033
大字上桜田,,,,38.216968,140.348279
大字上反田,,,,38.269387,140.256185
大字上東山,,,,38.282926,140.432696
大字上宝沢,,,,38.212072,140.42069
大字神尾,,,,38.191511,140.367854
大字切畑,,,,38.281604,140.400441
大字黒沢,,,,38.191542,140.302004
大字下東山,,,,38.297457,140.412232
大字下宝沢,,,,38.23179,140.4011
大字釈迦堂,,,,38.240127,140.385814
大字十文字,,,,38.309579,140.373946
大字常明寺,,,,38.266185,140.245765
大字陣場,,,,38.282679,140.303854
大字陣場新田,,,,38.282854,140.298328
大字菅沢,,,,38.225443,140.272772
大字鮨洗,,,,38.291153,140.282324
大字関沢,,,,38.219552,140.454969
大字高沢,,,,38.257437,140.441562
大字滝平,,,,38.267906,140.222431
大字津金沢,,,,38.204067,140.290669
大字土坂,,,,38.202836,140.382413
大字中桜田,,,,38.210506,140.342288
大字中里,,,,38.302105,140.383865
大字中野,,,,38.307506,140.306733
大字中野目,,,,38.332889,140.311796
大字七浦,,,,38.303221,140.339276
大字滑川,,,,38.242188,140.407245
大字成安,,,,38.318395,140.316989
大字二位田,,,,38.222092,140.287115
大字新山,,,,38.230241,140.425661
大字西中野,,,,38.300421,140.299268
大字沼木,,,,38.246405,140.290597
大字灰塚,,,,38.329213,140.321558
大字長谷堂,,,,38.197865,140.262624
大字八森,,,,38.212684,140.384187
大字平清水,,,,38.22812,140.371488
大字船町,,,,38.309414,140.290169
大字古館,,,,38.263651,140.261576
大字前明石,,,,38.2309,140.299658
大字松原,,,,38.198056,140.295032
大字見崎,,,,38.299854,140.320545
大字南館,,,,38.234244,140.298705
大字妙見寺,,,,38.23656,140.376621
大字向新田,,,,38.313681,140.290095
大字村木沢,,,,38.248809,140.228903
大字門伝,,,,38.231639,140.216171
大字谷柏,,,,38.217657,140.295434
大字山寺,,,,38.309795,140.456248
大字芳沢,,,,38.260373,140.226524
大字吉野宿,,,,38.286116,140.291759
大字吉原,,,,38.227328,140.303314
大字若木,,,,38.26222,140.254126
大手町,オオテマチ,OTEMACHI,,38.256605,140.333623
大道端,オオミチバタ,OMICHIBATA,,38.242988,140.274468
沖町,オキマチ,OKIMACHI,,38.28946,140.328563
小立一丁目,オダチ 1,ODACHI 1,,38.228608,140.339998
小立二丁目,オダチ 2,ODACHI 2,,38.229786,140.342762
小立三丁目,オダチ 3,ODACHI 3,,38.228239,140.344046
小立四丁目,オダチ 4,ODACHI 4,,38.226136,140.345912
落合町,オチアイマチ,OCHIAIMACHI,,38.282211,140.348911
御手作,オテサク,OTESAKU,,38.219958,140.277188
表蔵王,オモテザオウ,OMOTEZAO,,38.18924,140.312742
替所,,,,38.263563,140.26832
篭田一丁目,カゴタ 1,KAGOTA 1,,38.240152,140.321344
篭田二丁目,カゴタ 2,KAGOTA 2,,38.237471,140.320116
篭田三丁目,カゴタ 3,KAGOTA 3,,38.237778,140.317742
霞城町,カジョウマチ,KAJOMACHI,,38.255488,140.328125
春日町,カスガチョウ,KASUGACHO,,38.252708,140.319179
香澄町一丁目,カスミチョウ 1,KASUMICHO 1,,38.249424,140.329646
香澄町二丁目,カスミチョウ 2,KASUMICHO 2,,38.24862,140.332306
香澄町三丁目,カスミチョウ 3,KASUMICHO 3,,38.245563,140.330707
金石田,カナイシダ,KANAISHIDA,,38.266821,140.292011
上桜田一丁目,カミサクラダ 1,KAMISAKURADA 1,,38.22319,140.342472
上桜田二丁目,カミサクラダ 2,KAMISAKURADA 2,,38.222785,140.34467
上桜田三丁目,カミサクラダ 3,KAMISAKURADA 3,,38.219843,140.345736
上桜田四丁目,カミサクラダ 4,KAMISAKURADA 4,,38.219061,140.342424
上桜田五丁目,カミサクラダ 5,KAMISAKURADA 5,,38.219354,140.33978
上柳,カミヤナギ,KAMIYANAGI,,38.295318,140.347092
上山家町,カミヤンベマチ,KAMIYAMBEMACHI,,38.258505,140.388982
北江俣,キタエマタ,KITAEMATA,,38.283815,140.308922
北志戸田,,,,38.283681,140.284755
北田,キタダ,KITADA,,38.30875,140.305882
北町一丁目,キタマチ 1,KITAMACHI 1,,38.268239,140.331471
北町二丁目,キタマチ 2,KITAMACHI 2,,38.269411,140.329065
北町三丁目,キタマチ 3,KITAMACHI 3,,38.272827,140.327073
北町四丁目,キタマチ 4,KITAMACHI 4,,38.272651,140.332697
北山形一丁目,キタヤマガタ 1,KITAYAMAGATA 1,,38.263301,140.330788
北山形二丁目,キタヤマガタ 2,KITAYAMAGATA 2,,38.26586,140.329484
木の実町,キノミチョウ,KINOMICHO,,38.252108,140.334211
木ノ目田,キノメダ,KINOMEDA,,38.25123,140.289837
行才,ギョウサイ,GYOSAI,,38.288162,140.308184
京旦,,,,38.228328,140.30078
清住町一丁目,キヨズミマチ 1,KIYOZUMIMACHI 1,,38.254848,140.316938
清住町二丁目,キヨズミマチ 2,KIYOZUMIMACHI 2,,38.256309,140.313066
清住町三丁目,キヨズミマチ 3,KIYOZUMIMACHI 3,,38.252824,140.31389
久保田一丁目,クボタ 1,KUBOTA 1,,38.2487,140.31829
久保田二丁目,クボタ 2,KUBOTA 2,,38.249628,140.315387
久保田三丁目,クボタ 3,KUBOTA 3,,38.24635,140.315424
江南一丁目,コウナン 1,KONAN 1,,38.269962,140.321062
江南二丁目,コウナン 2,KONAN 2,,38.271736,140.321403
江南三丁目,コウナン 3,KONAN 3,,38.272484,140.316237
江南四丁目,コウナン 4,KONAN 4,,38.273981,140.312477
黄金,コガネ,KOGANE,,38.265089,140.303517
小姓町,コショウマチ,KOSHOMACHI,,38.247219,140.341309
小白川町,コジラカワマチ,KOJIRAKAWAMACHI,,38.249103,140.367713
小白川町一丁目,コジラカワマチ 1,KOJIRAKAWAMACHI 1,,38.246206,140.350657
小白川町二丁目,コジラカワマチ 2,KOJIRAKAWAMACHI 2,,38.249212,140.351846
小白川町三丁目,コジラカワマチ 3,KOJIRAKAWAMACHI 3,,38.247622,140.357991
小白川町四丁目,コジラカワマチ 4,KOJIRAKAWAMACHI 4,,38.245027,140.357429
小白川町五丁目,コジラカワマチ 5,KOJIRAKAWAMACHI 5,,38.245088,140.36772
寿町,コトブキチョウ,KOTOBUKICHO,,38.235304,140.338131
小荷駄町,コニダマチ,KONIDAMACHI,,38.239457,140.340888
後明,,,,38.271398,140.256777
こも石,コモイシ,KOMOISHI,,38.296182,140.390534
才津,,,,38.246356,140.270125
幸町,サイワイチョウ,SAIWAICHO,,38.245434,140.327414
蔵王飯田,ザオウイイダ,ZAO IIDA,,38.209064,140.332877
蔵王上野,ザオウウワノ,ZAO UWANO,,38.175729,140.330987
蔵王温泉,ザオウオンセン,ZAO ONSEN,,38.174319,140.41791
蔵王成沢,ザオウナリサワ,ZAO NARISAWA,,38.200878,140.328794
蔵王野際,,,,38.198376,140.327525
蔵王半郷,ザオウハンゴウ,ZAO HANGO,,38.187585,140.32526
蔵王堀田,ザオウホッタ,ZAO HOTTA,,38.172013,140.353699
蔵王松ケ丘,ザオウマツガオカ,ZAO MATSUGAOKA,,38.19637,140.309506
蔵王松ケ丘一丁目,ザオウマツガオカ 1,ZAO MATSUGAOKA 1,,38.19943,140.312665
蔵王松ケ丘二丁目,ザオウマツガオカ 2,ZAO MATSUGAOKA 2,,38.191095,140.3088
蔵王南成沢,ザオウミナミナリサワ,ZAO MINAMINARISAWA,,38.196714,140.31593
蔵王美原,,,,38.198763,140.310476
蔵王山田,ザオウヤマダ,ZAO YAMADA,,38.191007,140.33207
早乙女,サオトメ,SAOTOME,,38.276835,140.362241
境田町,サカイダマチ,SAKAIDAMACHI,,38.297551,140.329975
栄原,サカエバラ,SAKAEBARA,,38.289743,140.345511
肴町,サカナマチ,SAKANAMACHI,,38.261749,140.330151
桜ケ丘,サクラガオカ,SAKURAGAOKA,,38.252559,140.263091
佐倉宿,,,,38.23179,140.278769
桜田西一丁目,サクラダニシ 1,SAKURADANISHI 1,,38.221296,140.317034
桜田西二丁目,サクラダニシ 2,SAKURADANISHI 2,,38.219551,140.316966
桜田西三丁目,サクラダニシ 3,SAKURADANISHI 3,,38.220678,140.313475
桜田西四丁目,サクラダニシ 4,SAKURADANISHI 4,,38.218057,140.315218
桜田西五丁目,サクラダニシ 5,SAKURADANISHI 5,,38.222102,140.309588
桜田東一丁目,サクラダヒガシ 1,SAKURADAHIGASHI 1,,38.220715,140.320781
桜田東二丁目,サクラダヒガシ 2,SAKURADAHIGASHI 2,,38.220821,140.32319
桜田東三丁目,サクラダヒガシ 3,SAKURADAHIGASHI 3,,38.217925,140.321652
桜田東四丁目,サクラダヒガシ 4,SAKURADAHIGASHI 4,,38.219046,140.325523
桜田南,サクラダミナミ,SAKURADAMINAMI,,38.215621,140.312947
桜町,サクラチョウ,SAKURACHO,,38.252826,140.331422
三社,サンシャ,SANSHA,,38.315593,140.303014
島,シマ,SHIMA,,38.287546,140.314883
嶋北一丁目,シマキタ 1,SHIMAKITA 1,,38.286195,140.322981
嶋北二丁目,シマキタ 2,SHIMAKITA 2,,38.28655,140.319665
嶋北三丁目,シマキタ 3,SHIMAKITA 3,,38.289987,140.321881
嶋北四丁目,シマキタ 4,SHIMAKITA 4,,38.287421,140.317808
嶋南一丁目,シマミナミ 1,SHIMAMINAMI 1,,38.280566,140.322586
嶋南二丁目,シマミナミ 2,SHIMAMINAMI 2,,38.280663,140.319607
嶋南三丁目,シマミナミ 3,SHIMAMINAMI 3,,38.281244,140.317083
嶋南四丁目,シマミナミ 4,SHIMAMINAMI 4,,38.281864,140.315077
下条町一丁目,シモジョウマチ 1,SHIMOJOMACHI 1,,38.263117,140.326888
下条町二丁目,シモジョウマチ 2,SHIMOJOMACHI 2,,38.262425,140.322957
下条町三丁目,シモジョウマチ 3,SHIMOJOMACHI 3,,38.267021,140.32272
下条町四丁目,シモジョウマチ 4,SHIMOJOMACHI 4,,38.266032,140.325989
下条町五丁目,シモジョウマチ 5,SHIMOJOMACHI 5,,38.269912,140.325916
下田,シモダ,SHIMODA,,38.324928,140.307694
下柳,シモヤナギ,SHIMOYANAGI,,38.291768,140.34957
城南町一丁目,ジョウナンマチ 1,JONAMMACHI 1,,38.250868,140.326111
城南町二丁目,ジョウナンマチ 2,JONAMMACHI 2,,38.252367,140.326661
城南町三丁目,ジョウナンマチ 3,JONAMMACHI 3,,38.251646,140.321894
城北町一丁目,ジョウホクマチ 1,JOHOKUMACHI 1,,38.258444,140.330236
城北町二丁目,ジョウホクマチ 2,JOHOKUMACHI 2,,38.259942,140.32953
