code,prefecture_code,name,name_kana,name_romaji
44201,44,大分市,オオイタシ,OITA SHI
44202,44,別府市,ベップシ,BEPPU SHI
44203,44,中津市,ナカツシ,NAKATSU SHI
44204,44,日田市,ヒタシ,HITA SHI
44205,44,佐伯市,サイキシ,SAIKI SHI
44206,44,臼杵市,ウスキシ,USUKI SHI
44207,44,津久見市,ツクミシ,TSUKUMI SHI
44208,44,竹田市,タケタシ,TAKETA SHI
44209,44,豊後高田市,ブンゴタカダシ,BUNGOTAKADA SHI
44210,44,杵築市,キツキシ,KITSUKI SHI
44211,44,宇佐市,ウサシ,USA SHI
44212,44,豊後大野市,ブンゴオオノシ,BUNGOONO SHI
44213,44,由布市,ユフシ,YUFU SHI
44214,44,国東市,クニサキシ,KUNISAKI SHI
44322,44,東国東郡姫島村,ヒガシクニサキグンヒメシマムラ,HIGASHIKUNISAKI GUN HIMESHIMA MURA
44341,44,速見郡日出町,ハヤミグンヒジマチ,HAYAMI GUN HIJI MACHI
44461,44,玖珠郡九重町,クスグンココノエマチ,KUSU GUN KOKONOE MACHI
44462,44,玖珠郡玖珠町,クスグンクスマチ,KUSU GUN KUSU MACHI
