name,name_kana,name_romaji,nickname,latitude,longitude
売布自由ガ丘,メフジユウガオカ,MEFU JIYUGAOKA,,34.819586,135.355173
山手台西四丁目,ヤマテダイニシ 4,YAMATEDAI NISHI 4,,34.837345,135.373178
中筋山手七丁目,ナカスジヤマテ 7,NAKASUJIYAMATE 7,,34.825993,135.373317
中筋山手一丁目,ナカスジヤマテ 1,NAKASUJIYAMATE 1,,34.822102,135.370293
安倉西三丁目,アクラニシ 3,AKURA NISHI 3,,34.795376,135.372675
中筋山手三丁目,ナカスジヤマテ 3,NAKASUJIYAMATE 3,,34.82239,135.373243
中筋一丁目,ナカスジ 1,NAKASUJI 1,,34.81924,135.372743
中筋四丁目,ナカスジ 4,NAKASUJI 4,,34.817476,135.372996
中筋五丁目,ナカスジ 5,NAKASUJI 5,,34.815447,135.373757
中筋八丁目,ナカスジ 8,NAKASUJI 8,,34.813202,135.374055
中筋九丁目,ナカスジ 9,NAKASUJI 9,,34.811424,135.374159
泉町,イズミチョウ,IZUMICHO,,34.810316,135.370127
安倉北四丁目,アクラキタ 4,AKURA KITA 4,,34.80909,135.372774
安倉北三丁目,アクラキタ 3,AKURA KITA 3,,34.80703,135.370933
安倉中二丁目,アクラナカ 2,AKURA NAKA 2,,34.798842,135.371332
安倉中四丁目,アクラナカ 4,AKURA NAKA 4,,34.800215,135.374249
安倉北二丁目,アクラキタ 2,AKURA KITA 2,,34.804813,135.371763
安倉中一丁目,アクラナカ 1,AKURA NAKA 1,,34.801992,135.369896
美幸町,ミユキチョウ,MIYUKICHO,,34.78681,135.369987
山手台東四丁目,ヤマテダイヒガシ 4,YAMATEDAIHIGASHI 4,,34.838056,135.379785
山手台東三丁目,ヤマテダイヒガシ 3,YAMATEDAIHIGASHI 3,,34.835468,135.379562
切畑,キリハタ,KIRIHATA,,34.859673,135.340472
花屋敷つつじガ丘,ハナヤシキツツジガオカ,HANAYASHIKI TSUTSUJIGAOKA,,34.835621,135.401851
花屋敷荘園一丁目,ハナヤシキソウエン 1,HANAYASHIKI SOEN 1,,34.834003,135.40624
花屋敷荘園三丁目,ハナヤシキソウエン 3,HANAYASHIKI SOEN 3,,34.835341,135.409717
花屋敷荘園二丁目,ハナヤシキソウエン 2,HANAYASHIKI SOEN 2,,34.837213,135.405477
長尾台二丁目,ナガオダイ 2,NAGAODAI 2,,34.837562,135.396603
ふじガ丘,フジガオカ,FUJIGAOKA,,34.83742,135.389334
山手台東五丁目,ヤマテダイヒガシ 5,YAMATEDAIHIGASHI 5,,34.842341,135.372422
中山桜台四丁目,ナカヤマサクラダイ 4,NAKAYAMA SAKURADAI 4,,34.834816,135.362001
中山五月台三丁目,ナカヤマサツキダイ 3,NAKAYAMA SATSUKIDAI 3,,34.835637,135.367898
中山五月台四丁目,ナカヤマサツキダイ 4,NAKAYAMA SATSUKIDAI 4,,34.837974,135.368279
中山桜台五丁目,ナカヤマサクラダイ 5,NAKAYAMA SAKURADAI 5,,34.836731,135.364662
中山桜台六丁目,ナカヤマサクラダイ 6,NAKAYAMA SAKURADAI 6,,34.838327,135.361952
中山寺,ナカヤマデラ,NAKAYAMADERA,,34.832005,135.353485
川面,カワモ,KAWAMO,,34.829572,135.336159
波豆,ハズ,HAZU,,34.90239,135.283559
大原野,オオハラノ,OHARANO,,34.909802,135.305161
下佐曽利,シモサソリ,SHIMOSASORI,,34.92527,135.31494
長谷,ナガタニ,NAGATANI,,34.913038,135.32854
