name,name_kana,name_romaji,nickname,latitude,longitude
長塚,ナガヅカ,NAGAZUKA,,35.671501,138.531924
竜王新町,リュウオウシンマチ,RYUOSHIMMACHI,,35.672518,138.5158
大下条,オオシモジョウ,OSHIMOJO,,35.671491,138.525468
竜王,リュウオウ,RYUO,,35.664353,138.507297
岩森,イワモリ,IWAMORI,,35.696728,138.489776
龍地,リュウジ,RYUJI,,35.68376,138.509664
團子新居,,,,35.714227,138.500321
大垈,オオヌタ,ONUTA,,35.704352,138.505921
菖蒲澤,,,,35.716382,138.494455
下今井,シモイマイ,SHIMOIMAI,,35.680157,138.494507
上菅口,カミスゲクチ,KAMISUGEKUCHI,,35.755157,138.522342
安寺,アテラ,ATERA,,35.75437,138.534699
下福沢,シモフクザワ,SHIMOFUKUZAWA,,35.754197,138.547434
玉川,タマガワ,TAMAGAWA,,35.634824,138.525098
万才,マンザイ,MANZAI,,35.646971,138.532455
篠原,シノハラ,SHINOHARA,,35.650539,138.52259
名取,ナトリ,NATORI,,35.665648,138.523779
富竹新田,トミタケシンデン,TOMITAKESHINDEN,,35.655608,138.531395
西八幡,ニシヤハタ,NISHIYAHATA,,35.645083,138.514056
天狗沢,テングサワ,TENGUSAWA,,35.688965,138.515765
中下条,ナカシモジョウ,NAKASHIMOJO,,35.680456,138.526897
境,サカイ,SAKAI,,35.693337,138.522269
大久保,オオクボ,OKUBO,,35.696976,138.512598
吉沢,キッサワ,KISSAWA,,35.724373,138.541537
千田,センダ,SENDA,,35.738664,138.553973
獅子平,シシダイラ,SHISHIDAIRA,,35.740184,138.533219
下菅口,シモスゲグチ,SHIMOSUGEGUCHI,,35.746747,138.528248
漆戸,ウルシド,URUSHIDO,,35.740856,138.526451
牛句,ウシク,USHIKU,,35.706955,138.519422
亀沢,カメザワ,KAMEZAWA,,35.728385,138.524576
島上条,シマカミジョウ,SHIMAKAMIJO,,35.687128,138.525298
打返,ウチガエシ,UCHIGAESHI,,35.740595,138.51672
志田,シダ,SHIDA,,35.685499,138.483713
宇津谷,ウツヤ,UTSUYA,,35.700839,138.475539
上福沢,カミフクザワ,KAMIFUKUZAWA,,35.767183,138.536623
神戸,ゴウド,GODO,,35.765236,138.526546
下芦沢,シモアシザワ,SHIMOASHIZAWA,,35.771977,138.528967
上芦沢,カミアシザワ,KAMIASHIZAWA,,35.790559,138.540504
志田,シダ,SHIDA,柿木,35.684539,138.483786
島上条,シマカミジョウ,SHIMAKAMIJO,村続,35.684486,138.525927
竜王新町,リュウオウシンマチ,RYUOSHIMMACHI,西裏,35.669438,138.511934
