name,name_kana,name_romaji,nickname,latitude,longitude
大字秋,,,,33.882142,132.253473
大字出井,,,,33.873967,132.215512
大字伊保田,,,,33.945499,132.42882
大字浮島,,,,33.949909,132.345456
大字内入,,,,33.919584,132.401824
大字沖家室島,,,,33.852746,132.36185
大字笠佐島,,,,33.942512,132.160273
大字家房,,,,33.883132,132.233425
大字久賀,,,,33.937672,132.266959
大字神浦,,,,33.922466,132.376312
大字小泊,,,,33.91685,132.389293
大字小松,,,,33.939689,132.193604
大字小松開作,,,,33.927032,132.183029
大字地家室,,,,33.870984,132.350426
大字志佐,,,,33.917028,132.184219
大字土居,,,,33.913336,132.308137
大字外入,,,,33.874698,132.336547
大字西安下庄,,,,33.893016,132.263799
大字西方,,,,33.885511,132.35745
大字西三蒲,,,,33.939376,132.206511
大字西屋代,,,,33.922739,132.206458
大字東安下庄,,,,33.902946,132.292566
大字東三蒲,,,,33.950446,132.215292
大字東屋代,,,,33.907039,132.221387
大字日前,,,,33.923689,132.29114
大字日見,,,,33.903531,132.188912
大字平野,,,,33.900143,132.355504
大字戸田,,,,33.877706,132.208979
大字椋野,,,,33.95067,132.23157
大字森,,,,33.916954,132.360797
大字油宇,,,,33.928914,132.424034
大字油良,,,,33.907242,132.31386
大字横見,,,,33.895202,132.194905
大字和佐,,,,33.913794,132.372351
大字和田,,,,33.935322,132.411693
