name,name_kana,name_romaji,nickname,latitude,longitude
大字内野,,,,33.506444,130.348132
大字小笠木,,,,33.477105,130.371761
大字曲渕,,,,33.490615,130.299755
大字東入部,,,,33.513384,130.345069
大字板屋,,,,33.440587,130.377316
大字梅林,,,,33.536428,130.357546
大字椎原,,,,33.457831,130.350391
大字石釜,,,,33.479892,130.311867
大字脇山,,,,33.494253,130.357016
大字西,,,,33.477945,130.335572
大字西入部,,,,33.510757,130.31906
大字西油山,,,,33.520981,130.360146
大字重留,,,,33.523741,130.348574
大字野芥,,,,33.530975,130.35914
大字飯場,,,,33.495665,130.28426
曙一丁目,アケボノ 1,AKEBONO 1,,33.577125,130.361082
曙二丁目,アケボノ 2,AKEBONO 2,,33.575574,130.360484
荒江二丁目,アラエ 2,ARAE 2,,33.571821,130.355673
荒江三丁目,アラエ 3,ARAE 3,,33.571352,130.352491
有田一丁目,アリタ 1,ARITA 1,,33.564347,130.336128
有田二丁目,アリタ 2,ARITA 2,,33.561806,130.33537
有田三丁目,アリタ 3,ARITA 3,,33.558732,130.334137
有田四丁目,アリタ 4,ARITA 4,,33.558505,130.33805
有田五丁目,アリタ 5,ARITA 5,,33.556998,130.335437
有田六丁目,アリタ 6,ARITA 6,,33.557824,130.330071
有田七丁目,アリタ 7,ARITA 7,,33.562231,130.331139
有田八丁目,アリタ 8,ARITA 8,,33.55807,130.327392
有田団地,アリタダンチ,ARITADANCHI,,33.557912,130.331865
飯倉二丁目,イイクラ 2,IIKURA 2,,33.566458,130.353443
飯倉三丁目,イイクラ 3,IIKURA 3,,33.565638,130.348831
飯倉四丁目,イイクラ 4,IIKURA 4,,33.562161,130.350245
飯倉五丁目,イイクラ 5,IIKURA 5,,33.562144,130.355254
飯倉六丁目,イイクラ 6,IIKURA 6,,33.55828,130.353936
飯倉七丁目,イイクラ 7,IIKURA 7,,33.558141,130.350428
飯倉八丁目,イイクラ 8,IIKURA 8,,33.559088,130.347494
内野一丁目,ウチノ 1,UCHINO 1,,33.502329,130.33804
内野二丁目,ウチノ 2,UCHINO 2,,33.497735,130.338071
内野三丁目,ウチノ 3,UCHINO 3,,33.500811,130.340251
内野四丁目,ウチノ 4,UCHINO 4,,33.503143,130.343289
内野五丁目,ウチノ 5,UCHINO 5,,33.499361,130.342412
内野六丁目,ウチノ 6,UCHINO 6,,33.49879,130.345264
内野七丁目,ウチノ 7,UCHINO 7,,33.494443,130.344414
内野八丁目,ウチノ 8,UCHINO 8,,33.494856,130.340006
梅林六丁目,ウメバヤシ 6,UMEBAYASHI 6,,33.541997,130.351232
梅林七丁目,ウメバヤシ 7,UMEBAYASHI 7,,33.538913,130.353299
賀茂一丁目,カモ 1,KAMO 1,,33.554337,130.341933
賀茂二丁目,カモ 2,KAMO 2,,33.550227,130.342556
賀茂三丁目,カモ 3,KAMO 3,,33.549136,130.338394
賀茂四丁目,カモ 4,KAMO 4,,33.553236,130.33752
小田部一丁目,コタベ 1,KOTABE 1,,33.569818,130.335339
小田部二丁目,コタベ 2,KOTABE 2,,33.566895,130.335874
小田部三丁目,コタベ 3,KOTABE 3,,33.565909,130.331952
小田部四丁目,コタベ 4,KOTABE 4,,33.566528,130.328372
小田部五丁目,コタベ 5,KOTABE 5,,33.56962,130.329781
小田部六丁目,コタベ 6,KOTABE 6,,33.572971,130.328318
小田部七丁目,コタベ 7,KOTABE 7,,33.57287,130.331347
早良一丁目,サワラ 1,SAWARA 1,,33.505611,130.337306
早良二丁目,サワラ 2,SAWARA 2,,33.50688,130.335239
早良三丁目,サワラ 3,SAWARA 3,,33.509195,130.33341
早良四丁目,サワラ 4,SAWARA 4,,33.508072,130.330266
早良五丁目,サワラ 5,SAWARA 5,,33.504428,130.331549
早良六丁目,サワラ 6,SAWARA 6,,33.500834,130.33271
早良七丁目,サワラ 7,SAWARA 7,,33.496738,130.333411
四箇一丁目,シカ 1,SHIKA 1,,33.531587,130.323521
四箇二丁目,シカ 2,SHIKA 2,,33.531018,130.328562
四箇三丁目,シカ 3,SHIKA 3,,33.52671,130.324534
四箇四丁目,シカ 4,SHIKA 4,,33.527269,130.328501
四箇五丁目,シカ 5,SHIKA 5,,33.527799,130.332532
四箇六丁目,シカ 6,SHIKA 6,,33.532183,130.32979
四箇田団地,シカタダンチ,SHIKATADANCHI,,33.534862,130.331661
重留一丁目,シゲドメ 1,SHIGEDOME 1,,33.534313,130.339887
重留二丁目,シゲドメ 2,SHIGEDOME 2,,33.533403,130.343176
重留三丁目,シゲドメ 3,SHIGEDOME 3,,33.532872,130.346406
重留四丁目,シゲドメ 4,SHIGEDOME 4,,33.529957,130.341622
重留五丁目,シゲドメ 5,SHIGEDOME 5,,33.525872,130.343076
重留六丁目,シゲドメ 6,SHIGEDOME 6,,33.530372,130.339095
重留七丁目,シゲドメ 7,SHIGEDOME 7,,33.53264,130.335782
重留八丁目,シゲドメ 8,SHIGEDOME 8,,33.527854,130.336205
昭代一丁目,ショウダイ 1,SHODAI 1,,33.576278,130.356833
昭代二丁目,ショウダイ 2,SHODAI 2,,33.576883,130.353787
昭代三丁目,ショウダイ 3,SHODAI 3,,33.575829,130.350619
城西一丁目,ジョウセイ 1,JOSEI 1,,33.582361,130.363078
城西二丁目,ジョウセイ 2,JOSEI 2,,33.579542,130.363
城西三丁目,ジョウセイ 3,JOSEI 3,,33.580293,130.360338
次郎丸一丁目,ジロウマル 1,JIROMARU 1,,33.553398,130.332868
次郎丸二丁目,ジロウマル 2,JIROMARU 2,,33.554911,130.328385
次郎丸三丁目,ジロウマル 3,JIROMARU 3,,33.549348,130.325525
次郎丸四丁目,ジロウマル 4,JIROMARU 4,,33.549244,130.32895
次郎丸五丁目,ジロウマル 5,JIROMARU 5,,33.549637,130.331686
次郎丸六丁目,ジロウマル 6,JIROMARU 6,,33.549267,130.334752
祖原,ソハラ,SOHARA,,33.579274,130.357162
高取一丁目,タカトリ 1,TAKATORI 1,,33.579819,130.352809
高取二丁目,タカトリ 2,TAKATORI 2,,33.579551,130.349773
田隈一丁目,タグマ 1,TAGUMA 1,,33.545987,130.34
田隈二丁目,タグマ 2,TAGUMA 2,,33.545276,130.336626
田隈三丁目,タグマ 3,TAGUMA 3,,33.541864,130.34004
田村一丁目,タムラ 1,TAMURA 1,,33.544905,130.325857
田村二丁目,タムラ 2,TAMURA 2,,33.544618,130.331065
田村三丁目,タムラ 3,TAMURA 3,,33.540466,130.328124
田村四丁目,タムラ 4,TAMURA 4,,33.541135,130.334291
田村五丁目,タムラ 5,TAMURA 5,,33.53715,130.334982
田村六丁目,タムラ 6,TAMURA 6,,33.536821,130.329746
田村七丁目,タムラ 7,TAMURA 7,,33.537758,130.324788
