name,name_kana,name_romaji,nickname,latitude,longitude
二夕,,,,33.378787,130.569819
赤川,アカガワ,AKAGAWA,,33.347642,130.541368
稲吉,イナヨシ,INAYOSHI,,33.383173,130.565854
井上,イノウエ,INOE,,33.404813,130.577702
大板井,オオイタイ,OITAI,,33.401554,130.564526
大崎,オオザキ,OZAKI,,33.386225,130.559305
大保,オオホ,OHO,,33.40997,130.561396
小郡,オゴオリ,OGORI,,33.402664,130.549605
小郡,オゴオリ,OGORI,下町,33.393977,130.547973
乙隈,オトグマ,OTOGUMA,,33.431883,130.580614
上岩田,カミイワタ,KAMIIWATA,,33.399794,130.576258
上西鰺坂,カミニシアジサカ,KAMINISHIAJISAKA,,33.363151,130.548719
祇園一丁目,ギオン 1,GION 1,,33.395865,130.551934
祇園二丁目,ギオン 2,GION 2,,33.3957,130.549475
小板井,コイタイ,KOITAI,,33.393897,130.561335
小板井,コイタイ,KOITAI,蓮輪,33.39286,130.558873
下岩田,シモイワタ,SHIMOIWATA,,33.388178,130.578952
下西鰺坂,シモニシアジサカ,SHIMONISHIAJISAKA,,33.356707,130.553019
津古,ツコ,TSUKO,,33.442626,130.558166
津古,ツコ,TSUKO,半女寺,33.444644,130.567431
津古,ツコ,TSUKO,土取,33.439614,130.560625
寺福童,テラフクドウ,TERAFUKUDO,,33.384521,130.548823
希みが丘一丁目,ノゾミガオカ 1,NOZOMIGAOKA 1,,33.436183,130.544003
希みが丘二丁目,ノゾミガオカ 2,NOZOMIGAOKA 2,,33.436084,130.539923
希みが丘三丁目,ノゾミガオカ 3,NOZOMIGAOKA 3,,33.437541,130.537322
希みが丘四丁目,ノゾミガオカ 4,NOZOMIGAOKA 4,,33.439625,130.541131
希みが丘五丁目,ノゾミガオカ 5,NOZOMIGAOKA 5,,33.437939,130.545541
希みが丘六丁目,ノゾミガオカ 6,NOZOMIGAOKA 6,,33.439896,130.546748
干潟,ヒカタ,HIKATA,,33.418639,130.590917
平方,ヒラカタ,HIRAKATA,,33.363541,130.576897
吹上,フキアゲ,FUKIAGE,,33.417643,130.580991
福童,フクドウ,FUKUDO,,33.372107,130.545894
二森,フタモリ,FUTAMORI,,33.377123,130.558837
古飯,フルエ,FURUE,,33.376471,130.57654
松崎,マツザキ,MATSUZAKI,,33.396583,130.587504
三国が丘一丁目,ミクニガオカ 1,MIKUNIGAOKA 1,,33.435558,130.563935
三国が丘二丁目,ミクニガオカ 2,MIKUNIGAOKA 2,,33.43942,130.564934
三国が丘三丁目,ミクニガオカ 3,MIKUNIGAOKA 3,,33.442086,130.565922
三国が丘四丁目,ミクニガオカ 4,MIKUNIGAOKA 4,,33.440071,130.567365
三国が丘五丁目,ミクニガオカ 5,MIKUNIGAOKA 5,,33.436802,130.567805
三国が丘六丁目,ミクニガオカ 6,MIKUNIGAOKA 6,,33.434313,130.566888
三国が丘七丁目,ミクニガオカ 7,MIKUNIGAOKA 7,,33.432812,130.566908
美鈴が丘一丁目,ミスズガオカ 1,MISUZUGAOKA 1,,33.43321,130.552594
美鈴が丘二丁目,ミスズガオカ 2,MISUZUGAOKA 2,,33.431052,130.552072
美鈴が丘三丁目,ミスズガオカ 3,MISUZUGAOKA 3,,33.433838,130.548531
美鈴が丘四丁目,ミスズガオカ 4,MISUZUGAOKA 4,,33.435087,130.54948
美鈴が丘五丁目,ミスズガオカ 5,MISUZUGAOKA 5,,33.436457,130.551209
美鈴の杜一丁目,ミスズノモリ 1,MISUZUNOMORI 1,,33.431956,130.560701
美鈴の杜二丁目,ミスズノモリ 2,MISUZUNOMORI 2,,33.429189,130.560304
美鈴の杜三丁目,ミスズノモリ 3,MISUZUNOMORI 3,,33.432195,130.558498
三沢,ミツサワ,MITSUSAWA,,33.427498,130.551589
光行,ミツユキ,MITSUYUKI,,33.362443,130.569948
八坂,ヤサカ,YASAKA,,33.359331,130.562808
山隈,ヤマグマ,YAMAGUMA,,33.411982,130.600722
山隈,ヤマグマ,YAMAGUMA,弥八郎,33.408222,130.596376
横隈,ヨコグマ,YOKOGUMA,,33.424022,130.572684
力武,リキタケ,RIKITAKE,,33.41872,130.56848
