code,prefecture_code,name,name_kana,name_romaji
17201,17,金沢市,カナザワシ,KANAZAWA SHI
17202,17,七尾市,ナナオシ,NANAO SHI
17203,17,小松市,コマツシ,KOMATSU SHI
17204,17,輪島市,ワジマシ,WAJIMA SHI
17205,17,珠洲市,スズシ,SUZU SHI
17206,17,加賀市,カガシ,KAGA SHI
17207,17,羽咋市,ハクイシ,HAKUI SHI
17209,17,かほく市,カホクシ,KAHOKU SHI
17210,17,白山市,ハクサンシ,HAKUSAN SHI
17211,17,能美市,ノミシ,NOMI SHI
17212,17,野々市市,ノノイチシ,NONOICHI SHI
17324,17,能美郡川北町,ノミグンカワキタマチ,NOMI GUN KAWAKITA MACHI
17361,17,河北郡津幡町,カホクグンツバタマチ,KAHOKU GUN TSUBATA MACHI
17365,17,河北郡内灘町,カホクグンウチナダマチ,KAHOKU GUN UCHINADA MACHI
17384,17,羽咋郡志賀町,ハクイグンシカマチ,HAKUI GUN SHIKA MACHI
17386,17,羽咋郡宝達志水町,ハクイグンホウダツシミズチョウ,HAKUI GUN HODATSUSHIMIZU CHO
17407,17,鹿島郡中能登町,カシマグンナカノトマチ,KASHIMA GUN NAKANOTO MACHI
17461,17,鳳珠郡穴水町,ホウスグンアナミズマチ,HOSU GUN ANAMIZU MACHI
17463,17,鳳珠郡能登町,ホウスグンノトチョウ,HOSU GUN NOTO CHO
